old_url,new_url,status_code,reason
/grant/kushiro-elderly-taxi/,/grant/kushiro-elderly-outing-bus/,301,制度実体が高齢者外出促進バス事業のため
/grant/kagoshima-elderly-taxi/,/grant/kagoshima-keiro-pass/,301,制度実体が敬老パスのため
/grant/fukuyama-elderly-taxi/,/grant/fukuyama-elderly-support/,301,同じ公式制度のおでかけ乗車券に統合するため
/grant/fukaya-結婚新生活支援事業補助金lywed-life-support-subsidy-2026/,/grant/fukaya-newlywed-life-support-subsidy-2026/,301,日本語と英語が混在した旧slugを英語slugへ正規化するため
/grant/nara-city-childcare-subsidy/,/grant/nara-city-child-medical/,301,同じ奈良市子ども医療費助成制度の重複URLを統合するため
/grant/aichi-official-003-031-2026/,/grant/anjo-child-medical/,301,同一制度名・同一公式URLの完全重複を「安城市 子ども医療費助成」へ統合するため
/grant/aichi-official-004-061-2026/,/grant/inazawa-scholarship-repayment-2026/,301,同一制度名・同一公式URLの完全重複を「稲沢市 奨学金返還支援補助金」へ統合するため
/grant/aizu-結婚新生活支援事業補助金lywed-rent/,/grant/aizu-newlywed-rent/,301,同一制度名・同一公式URLの完全重複を「会津若松市結婚新生活支援事業補助金」へ統合するため
/grant/akashi-child-medical-2026/,/grant/akashi-child-medical/,301,同一制度名・同一公式URLの完全重複を「明石市 こども医療費助成制度」へ統合するため
/grant/akishima-re結婚新生活支援事業補助金able-energy-equipment-subsidy-2026/,/grant/akishima-housing-eco/,301,同一制度名・同一公式URLの完全重複を「昭島市 住宅用新エネルギー機器等普及促進補助金」へ統合するため
/grant/akishima-specific-infertility-treatment-subsidy-2026/,/grant/akishima-infertility/,301,同一制度名・同一公式URLの完全重複を「昭島市 特定不妊治療医療費助成」へ統合するため
/grant/akita-child-medical-aid/,/grant/akita-city-child-medical/,301,同一制度名・同一公式URLの完全重複を「秋田市 子ども福祉医療制度」へ統合するため
/grant/amagasaki-結婚新生活支援事業補助金lywed-rent/,/grant/amagasaki-newlywed-rent/,301,同一制度名・同一公式URLの完全重複を「尼崎市 民間賃貸住宅住替え補助」へ統合するため
/grant/ashikaga-結婚新生活支援事業補助金lywed-rent/,/grant/ashikaga-newlywed-rent/,301,同一制度名・同一公式URLの完全重複を「足利市 結婚新生活支援事業補助金」へ統合するため
/grant/chiba-city-childcare-subsidy/,/grant/chiba-city-child-medical/,301,同一制度名・同一公式URLの完全重複を「千葉市 子ども医療費助成制度」へ統合するため
/grant/chitose-child-medical-aid-2026/,/grant/chitose-child-medical/,301,同一制度名・同一公式URLの完全重複を「千歳市 子ども医療費助成制度」へ統合するため
/grant/daisen-juutaku-reform/,/grant/daisen-housing-reform/,301,同一制度名・同一公式URLの完全重複を「大仙市 住宅リフォーム支援事業」へ統合するため
/grant/ebetsu-child-medical-aid-2026/,/grant/ebetsu-child-medical/,301,同一制度名・同一公式URLの完全重複を「江別市 子ども医療費助成事業」へ統合するため
/grant/ehime-official-001-001-2026/,/grant/matsuyama-child-medical/,301,同一制度名・同一公式URLの完全重複を「松山市 子ども医療費助成」へ統合するため
/grant/ehime-official-001-002-2026/,/grant/matsuyama-block-wall-removal/,301,同一制度名・同一公式URLの完全重複を「松山市 ブロック塀等安全対策補助事業」へ統合するため
