municipality,priority,rescore,title,url,anchor,snippet
"小牧市","strong","170","小牧市都市緑化推進事業補助金制度／小牧市","https://www.city.komaki.aichi.jp/admin/shimin/life/hojyo/19674.html","小牧市都市緑化推進事業補助金制度","小牧市都市緑化推進事業補助金制度／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 市民の方へ くらし 補助・助成（無償・無料）制度 小牧市都市緑化推進事業補助金制度 小牧市都市緑化推進事業補助金制度 更新日：2019年04月01日 ページID： 19674 小牧市では、平成21年度から導入された「あいち森と緑づくり税」を財源に、愛知県が行う「あいち森と緑づくり都市緑化推進事業」に基づく補助金交付の受付を平成22年4月1日から開始しました。この事業は、市内の市街化区域及び市街化調整区域内の既存集落で行われる一定の規模以上の民有地の緑化"
"小牧市","strong","170","小牧市姉妹都市及び友好都市交流事業助成金／小牧市","https://www.city.komaki.aichi.jp/admin/shimin/life/hojyo/10598.html","小牧市姉妹都市及び友好都市交流事業助成金","小牧市姉妹都市及び友好都市交流事業助成金／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 市民の方へ くらし 補助・助成（無償・無料）制度 小牧市姉妹都市及び友好都市交流事業助成金 小牧市姉妹都市及び友好都市交流事業助成金 更新日：2025年07月15日 ページID： 10598 小牧市姉妹都市及び友好都市交流事業助成金について 小牧市では、姉妹都市・友好都市であるワイアンドット市（アメリカ合衆国ミシガン州）及びグラント郡（アメリカ合衆国ワシントン州）、安養市（大韓民国京畿道）を訪問される方に助成を行っています。 姉妹都市・友好都市"
"小牧市","strong","170","障がい支援／小牧市","https://www.city.komaki.aichi.jp/admin/shimin/life/hojyo/16756.html","障がい支援","障がい支援／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 市民の方へ くらし 補助・助成（無償・無料）制度 障がい支援 障がい支援 更新日：2017年08月31日 ページID： 16756 手続き 支援 相談 補助・助成（無償・無料）制度 小牧市役所 〒485-8650 愛知県小牧市堀の内三丁目１番地 [ 小牧市役所の地図 ] 代表電話番号：0568-72-2101 ファックス番号：0568-75-5714 （総務課内） 開庁時間：午前9時から午後4時まで（令和7年11月4日から） 閉庁日：土曜日、日曜日、祝日、年末年始 （注）開"
"小牧市","strong","170","高齢・介護支援／小牧市","https://www.city.komaki.aichi.jp/admin/shimin/life/hojyo/16754.html","高齢・介護支援","高齢・介護支援／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 市民の方へ くらし 補助・助成（無償・無料）制度 高齢・介護支援 高齢・介護支援 更新日：2017年08月31日 ページID： 16754 介護保険 手続き 支援 相談 施設 よくある質問 補助・助成（無償・無料）制度 小牧市役所 〒485-8650 愛知県小牧市堀の内三丁目１番地 [ 小牧市役所の地図 ] 代表電話番号：0568-72-2101 ファックス番号：0568-75-5714 （総務課内） 開庁時間：午前9時から午後4時まで（令和7年11月4日から） 閉庁日"
"小牧市","strong","170","補助・助成（無償・無料）制度／小牧市","https://www.city.komaki.aichi.jp/admin/shimin/life/hojyo/index.html","","補助・助成（無償・無料）制度／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 市民の方へ くらし 補助・助成（無償・無料）制度 補助・助成（無償・無料）制度 更新日：2018年01月17日 ページID： 37 住宅など 子育て 妊娠・出産 高齢・介護支援 障がい支援 防犯・防災 小牧市姉妹都市及び友好都市交流事業助成金 小牧市都市緑化推進事業補助金制度 その他 くらし 小牧市役所 〒485-8650 愛知県小牧市堀の内三丁目１番地 [ 小牧市役所の地図 ] 代表電話番号：0568-72-2101 ファックス番号：0568-75-57"
"小牧市","strong","170","こまきDXテックミートアップ（補助金説明会＆マッチング交流会）のご案内／小牧市","https://www.city.komaki.aichi.jp/admin/soshiki/chiikikassei/syoukou/1/6/2/51923.html","こまきDXテックミートアップ（補助金説明会＆マッチング交流会）のご案内","こまきDXテックミートアップ（補助金説明会＆マッチング交流会）のご案内／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 組織・機構 地域活性化営業部 商工振興課 新産業創出係 商工業 各種補助金制度 こまきDXテックミートアップ（補助金説明会＆マッチング交流会）のご案内 こまきDXテックミートアップ（補助金説明会＆マッチング交流会）のご案内 更新日：2026年06月15日 ページID： 51926 小牧市では、様々な補助制度を設けているところですが、中小企業の皆さまのDX推進のため、 デジタル化支援補助金 を運用しております。 この"
"小牧市","strong","170","小牧市中小企業サイバーセキュリティ対策促進補助金／小牧市","https://www.city.komaki.aichi.jp/admin/soshiki/chiikikassei/syoukou/1/6/2/51227.html","サイバーセキュリティ対策促進補助金","小牧市中小企業サイバーセキュリティ対策促進補助金／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 組織・機構 地域活性化営業部 商工振興課 新産業創出係 商工業 各種補助金制度 小牧市中小企業サイバーセキュリティ対策促進補助金 小牧市中小企業サイバーセキュリティ対策促進補助金 更新日：2026年04月01日 ページID： 51227 自社の企業秘密、個人情報等を保護する観点からサイバーセキュリティ対策を実施しようとする市内の中小企業者に対し、その経費の一部を補助します ※本補助金は、「2026年度元気な愛知の市町村づくり補助金（チャ"
"小牧市","strong","170","中小企業人材育成研修費補助金／小牧市","https://www.city.komaki.aichi.jp/admin/soshiki/chiikikassei/syoukou/1/6/2/9056.html","人材育成研修費補助金","中小企業人材育成研修費補助金／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 組織・機構 地域活性化営業部 商工振興課 新産業創出係 商工業 各種補助金制度 中小企業人材育成研修費補助金 中小企業人材育成研修費補助金 更新日：2026年04月01日 ページID： 9056 従業員又は経営者が業務に必要な技術、技能又は知識の習得を図るために必要な各種研修制度を利用した市内の中小企業者の方々に対し、その経費の一部を補助する制度です。 現在の予算執行率は コチラ 対象者 次のいずれにも該当する方 中小企業者である方（ただし、みなし大企業は"
"小牧市","strong","170","中心市街地空き店舗活性化支援補助金／小牧市","https://www.city.komaki.aichi.jp/admin/soshiki/chiikikassei/syoukou/1/6/2/37473.html","中心市街地空き店舗活性化支援補助金","中心市街地空き店舗活性化支援補助金／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 組織・機構 地域活性化営業部 商工振興課 新産業創出係 商工業 各種補助金制度 中心市街地空き店舗活性化支援補助金 中心市街地空き店舗活性化支援補助金 更新日：2026年04月01日 ページID： 37473 中心市街地の空き店舗を減らし商店街の活性化を図るために 、やる気のある商店主を呼び込み定着していただくため、新規出店者に対し、店舗家賃を補助します。 添付ファイル 中心市街地空き店舗活性化支援補助金のあらまし (PDFファイル: 563.2KB"
"小牧市","strong","170","創業支援利子補給補助金／小牧市","https://www.city.komaki.aichi.jp/admin/soshiki/chiikikassei/syoukou/1/6/2/7134.html","創業支援利子補給補助金","創業支援利子補給補助金／小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 小牧市 ホーム 市民の方へ 事業者の方へ イベント観光 市政 防災情報 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 閉じる 文字サイズ 背景色変更 Select Language Español Tiếng Việt Português English 한국 中文（简体字） 中文（繁体字） 現在のページ ホーム 小牧市公式ホームページ 組織・機構 地域活性化営業部 商工振興課 新産業創出係 商工業 各種補助金制度 創業支援利子補給補助金 創業支援利子補給補助金 更新日：2026年01月01日 ページID： 7134 株式会社日本政策金融公庫及び小牧市と小規模企業等振興資金に関する覚書を締結している 取扱金融機関 （※以下「公庫等」という。）から創業のために必要な資金（以下「創業資金」という。）の融資を受けた方に対し、利子の一部を補助する制度です。 現在の予算執行率は コチラ 対象者 個人事業主"
