slug	organization	title	maxAmount	url	evidence
nagasaki-official-003-001-2026	西海市	西海市 こども福祉医療費助成事業	医療費の自己負担分等を助成	https://www.city.saikai.nagasaki.jp/bamen/kosodate/3580.html	こども福祉医療費助成事業～現物給付の対象に長崎市・佐世保市の医療機関を追加しました こども福祉医療費助成事業～現物給付の対象に長崎市・佐世保市の医療機関を追加しました／西海市 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 市の組織 よくあるご質問 お問い合わせ メニュー
nagasaki-official-003-002-2026	西海市	西海市 西海市太陽光発電設備等設置補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/kurashi/kankyo/11648.html	【令和8年度受付開始】西海市太陽光発電設備等設置補助金について 【令和8年度受付開始】西海市太陽光発電設備等設置補助金について／西海市 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 市の組織 よくあるご質問 お問い合わせ メニューを閉じる 現在の位置 ホーム くらし・手
nagasaki-official-003-003-2026	西海市	西海市 自動車事故被害者援護制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/bamen/kosodate/7058.html	自動車事故被害者援護制度について 自動車事故被害者援護制度について／西海市 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 市の組織 よくあるご質問 お問い合わせ メニューを閉じる 現在の位置 ホーム 場面別で探す 子育て 自動車事故被害者援護制度について 更新日：202
nagasaki-official-003-004-2026	西海市	西海市 西海市シニアカー購入費補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/soshiki/fukushi/10461.html	西海市シニアカー購入費補助金について 西海市シニアカー購入費補助金について／西海市 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 市の組織 よくあるご質問 お問い合わせ メニューを閉じる 現在の位置 ホーム 組織から探す 福祉課 西海市シニアカー購入費補助金について 更
nagasaki-official-003-005-2026	西海市	西海市 西海市スポーツ大会出場補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/kurashi/13418.html	西海市スポーツ大会出場補助金 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 現在の位置 ホーム くらし・手続き 西海市スポーツ大会出場補助金 更新日：2026年05月07日 西海市スポーツ大会出場補助金 西海市スポーツ大会出場補助金の申請について 西海市スポーツ大会出場補助金は、市内在住の18歳以上の方（高校生を除く）が九州大会以上の大会へ出場することに対して補
nagasaki-official-003-006-2026	西海市	西海市 子育て家庭への手当	所得・対象区分に応じて手当等を支給	https://www.city.saikai.nagasaki.jp/kosodate/jido/index.html	子育て家庭への手当 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 現在の位置 ホーム 子育て・教育 子育て家庭への手当 更新日：2021年09月13日 子育て家庭への手当 児童手当 児童扶養手当制度 子育て・教育 妊娠・出産 学童期・高校生・大学生 子育て 教育 子育て家庭への手当 特別支援教育 障がい児・ひとり親家庭・女性支援 文化・スポーツ 生涯学習 里親
nagasaki-official-003-007-2026	西海市	西海市 西海市空き家・空き地情報バンク	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/kurashi/jutaku/2/5561.html	西海市空き家・空き地情報バンク 西海市空き家・空き地情報バンク／西海市 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 市の組織 よくあるご質問 お問い合わせ メニューを閉じる 現在の位置 ホーム くらし・手続き 住宅・土地・道路・河川 空き家情報 西海市空き家・空き地情
nagasaki-official-003-008-2026	西海市	西海市 婚活・結婚支援	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/shisei/12795.html	婚活・結婚支援 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 現在の位置 ホーム 市政・まちづくり 婚活・結婚支援 更新日：2025年07月07日 婚活・結婚支援 お見合いシステム等のご紹介 令和8年度西海市内における婚活イベント 令和8年度地域少子化対策重点推進交付金を活用した事業について 「婚活・結婚支援」内検索 よく見られるページ ページの先頭へ 西海市役
nagasaki-official-003-009-2026	西海市	西海市 物価高騰対応重点支援地方創生臨時交付金事業実施計画	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/soshiki/seisaku/3/3/4/12917.html	物価高騰対応重点支援地方創生臨時交付金事業実施計画 本文へ 文字サイズ 背景色 言語を選択​▼ ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 現在の位置 ホーム 組織から探す 政策企画課 市政・まちづくり 市の政策 事業・計画 物価高騰対応重点支援地方創生臨時交付金事業実施計画 更新日：2026年07月16日 物価高騰対応重点支援地方創生臨時交付金事業実施計画 物価高騰対応重点支援地方創生
nagasaki-official-003-010-2026	西海市	西海市 令和8年度西海市農林業振興事業費補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saikai.nagasaki.jp/topics/5234.html	令和8年度西海市農林業振興事業費補助金について 本文へ 文字サイズ 背景色 ホーム くらし・手続き 子育て・教育 健康・福祉 産業・観光 市政・まちづくり 事業者の方へ 現在の位置 ホーム 大切なお知らせ 令和8年度西海市農林業振興事業費補助金について 更新日：2026年05月21日 令和8年度西海市農林業振興事業費補助金について 西海市農林業振興事業費補助金等をご活用ください 事業一覧（西海市農林業振興事業費及び農地等整備工事費補助金
