score	municipality	title	url	snippet
67	泰阜村	山峡の子育て村、自然教育のメッカ	https://www.vill.yasuoka.nagano.jp/docs/2558.html	につき300円の事務手数料がかかります） ☆「子育て広場」の解放（いつでも無料で利用可能。週3回は子育て支援員や保健師が在室。定期的にイベントも開催） ☆ブックスタート事業（子ども1人につき3回、各2冊ずつ） ☆学童保育（基本無料、長期休暇中は1日100円） ☆ファミリーサポートセンター（1時間300～500円） ☆中学生以下がいる世帯の村営住宅家賃を20%減免 ☆通学定期代の2分の1相当を補助 ☆ながの子育て家庭優待パスポートの配布（県内の協賛企業でお得にお買い物等ができる優待カード。子どもが3人以上になるとグレードアップします。詳しくは 長野県ホームページ へ） さらに、乳幼児育児相談などのサポートや、太鼓教室や自然教育など情操教育に関わる支援まで様々な面から子育てを応援しています。 詳細は 子ども・子育て
67	泰阜村	手当・助成金	https://www.vill.yasuoka.nagano.jp/children/docs/subsidy.html	手当・助成金 - 泰阜村 泰阜村で育つ -子ども・子育て情報- &#9776; Menu 泰阜村サイトへ ホーム 泰阜村の教育 目的別に探す 年齢別に探す ホーム &rsaquo; 目的別 &rsaquo; 手当・助成金 手当・助成金 医療費等への助成 未熟児養育医療給付 発育が未熟なまま生まれた乳児の入院医療費及び入院時食事療養費の自己負担が軽減されます。 未熟児養育医療 子宝サポート事業（不妊治療費助成事業） 不妊治療を受けている夫婦の経済的負担を軽減するため、県の助成事業に準じて治療費の一部を助成します。 定期予防接種費用償還払い 里帰り出産等で、県外で定期予防接種を受けた場合、費用を償還払いします。 任意予防接種費用の助成 子どものインフルエンザ任意予防接種（生後6か月～15歳※ワクチンの種類により1歳
67	豊丘村	南信州 豊丘村	https://www.vill.nagano-toyooka.lg.jp/14zeikin/08how_to/index.html	金額が30万円を超えるもの ・金額が訂正されたもの ・破損、汚損など何らかの理由により、コンビニエンスストア各店舗のスキャナーで読み取りができないもの ３．口座振替で納付する場合 口座振替をご希望の方は「豊丘村村税等口座振替依頼書」に必要事項を記入、銀行届出印を押印のうえ金融機関へ提出をお願いします。 用紙は、役場または金融機関窓口に備え付けてあります。 【対象税目】 ◎村県民税（普通徴収） ◎固定資産税 ◎国民健康保険税（普通徴収） ◎軽自動車税 ※以下の料金も可能です。 ・有線使用料（防災行政情報受信タブレット） ・保育料 ・介護保険料（普通徴収） ・後期高齢者医療保険料（普通徴収） ・児童クラブ保育料 ・村営住宅使用料 ・上水道料 ・下水道使用料 ・給食費 ・奨学金返還 ・教員住宅使用料（教員） 【取扱金
67	上松町	「上松町空き家片付け・改修促進補助金」「上松町空き家解体促進補助金」のご案内 | 上松町公式サイト このページの本文へ 上松町 サイト内検索 検索 防災情報 Translate	https://www.town.agematsu.nagano.jp/kurashi/sumai_seikatsu/tochi/akiya_hojokin.html	「上松町空き家片付け・改修促進補助金」「上松町空き家解体促進補助金」のご案内 | 上松町公式サイト このページの本文へ 上松町 サイト内検索 検索 防災情報 Translate 文字サイズ 標準 大 TOP くらし 住まい・生活 土地・住宅 「上松町空き家片付け・改修促進補助金」「上松町空き家解体促進補助金」のご案内 「上松町空き家片付け・改修促進補助金」「上松町空き家解体促進補助金」のご案内 更新日： 2026年07月02日 移住・定住の促進や、地域の活性化のため、町では、空き家の処分等に当たって必要となる「片付け」、「改修」、「解体」といった各場面において、必要となる経費に対し以下のとおり補助を行います。 補助を希望される方は申請書の提出が必要となりますので、地域振興課 地域振興係までご相談ください。 ※必
57	豊丘村	南信州 豊丘村	https://www.vill.nagano-toyooka.lg.jp/10sangyou/02shougyou/sougyoshien.html	業を支援する体制を整備します。特に、起業・創業しようと考えていても何から手をつけたらよいか、どこへ相談したらよいかが分からないという声が多いことから、ワンストップ相談窓口を「豊丘村商工会」に明確に位置づけました。 豊丘村商工会では、専門知識を持つ経営指導員が、村、県、長野県中小企業振興センター、金融機関等と密接に連携しながら、創業準備、資金計画、各種手続き、助成制度、販路開拓等について個別相談等を通じきめ細かく支援していくほか、創業後も経営が安定するまで支援を継続します。 関係機関へのリンク 中小企業庁：経営サポート「地域における創業支援体制の整備（産業競争力強化法）」 中小企業庁：経営サポート「創業・ベンチャー支援」 豊丘村商工会 創業サポートオフィス（公益財団法人 長野県中小企業振興センター） 飯田信用金庫
55	豊丘村	南信州 豊丘村	https://www.vill.nagano-toyooka.lg.jp/21oidenansyo/index.html	住をご検討の皆様のお越しをお待ちしております。 （内容が急遽変更となる場合がありますので、事前に主催者へご確認のうえご参加ください。） ------------------------------------------------- ● いいとこなんだに南信州in名古屋 （終了しました） 2026年6月21日(日曜日)10時30分から16時00分まで（最終受付15時30分） 会場：愛知県名古屋市中区栄４丁目１&minus;１ 中日ビル５F全国センター広場 ------------------------------------------------- ● 長野県市町村ＪＡ合同就農相談会in有楽町 2026年7月5日(日曜日)11時から16時まで 会場：東京都千代田区有楽町２丁目１０&minus;１ 東京交通
47	泰阜村	令和8年度 泰阜村くらしの助成金等一覧	https://www.vill.yasuoka.nagano.jp/docs/328648.html	令和8年度 泰阜村くらしの助成金等一覧 - 泰阜村 本文へ ふりがなをつける ふりがなをはずす 読み上げ 文字サイズ 小さく 標準 大きく Home 泰阜村について 行政情報 暮らし・各種手続き 移住情報 観光 子ども・子育て 福祉 HOME &rsaquo; 行政情報 &rsaquo; 助成金・補助金 &rsaquo; 令和8年度 泰阜村くらしの助成金等一覧 令和8年度 泰阜村くらしの助成金等一覧 村民の皆様のくらしに役立つ主な助成金等をご紹介します。 お困りのことがありましたらお気軽に泰阜村役場までご連絡ください。 各種助成金等は、役場担当者へ事前に必要な申請手続きを行ってください。 R8 泰阜村くらしの助成金等一覧R8.4 (PDF 613KB) 令和8年4月1日現在 1.子育て・教育 子育て支援(預かり
47	泰阜村	泰阜暮らしのキホンのキ！	https://www.vill.yasuoka.nagano.jp/docs/2556.html	中学生以下のお子様が同居する場合には2割引になります。収入により家賃が変動するタイプの住宅もあります。 戸建タイプ、アパートタイプなど様々な種類の住宅があります。おかげ様でご好評につき、空きがない場合があります。 入居に際しては公募となりますのでご了承下さい。 空き情報は 泰阜村移住情報まとめサイトトップページ から「住宅をお探しの方へ」内の「村営住宅入居者募集」をご覧ください。詳細は下記担当までお問い合わせ下さい。 村営住宅について詳しくは 住民福祉課住宅水道係 TEL 0260-26-2111（代） 空き家 村内には多数の空き家がありますが、ご紹介できる（住居として利用に適し、かつ所有者から同意を頂いている）物件は多くはありません。防犯上の理由等からホームページに直接情報を掲載することは現在控えておりますの
47	泰阜村	お役立ち！制度・助成金一覧	https://www.vill.yasuoka.nagano.jp/docs/2587.html	お役立ち！制度・助成金一覧 - 泰阜村 本文へ ふりがなをつける ふりがなをはずす 読み上げ 文字サイズ 小さく 標準 大きく Home 泰阜村について 行政情報 暮らし・各種手続き 移住情報 観光 子ども・子育て 福祉 HOME &rsaquo; 移住情報 &rsaquo; お役立ち！制度・助成金一覧 お役立ち！制度・助成金一覧 泰阜村には、移住に特化した助成金はあまりありません。それは、移住者も元々の村民も対等に同じ村民だからです。ここでは、移住者に特に役立つ助成金や制度をご紹介します。 目次 結婚 #結婚した ＃結婚と同時に転入した 出産・子育て・教育 #出産した #奨学金を借りたい ＃中学校に入学する #村外に通学したい #村営住宅に入居した #その他子育て世帯への手当・助成等 住宅 #村営住宅に入居し
47	泰阜村	泰阜村移住体験宿泊費補助金	https://www.vill.yasuoka.nagano.jp/docs/28982.html	泰阜村移住体験宿泊費補助金 - 泰阜村 本文へ ふりがなをつける ふりがなをはずす 読み上げ 文字サイズ 小さく 標準 大きく Home 泰阜村について 行政情報 暮らし・各種手続き 移住情報 観光 子ども・子育て 福祉 HOME &rsaquo; 移住情報 &rsaquo; 泰阜村移住体験宿泊費補助金 HOME &rsaquo; 行政情報 &rsaquo; 助成金・補助金 &rsaquo; 泰阜村移住体験宿泊費補助金 泰阜村移住体験宿泊費補助金 泰阜村に移住を希望する方が、見学や相談の際に村内の宿泊施設を利用する場合、1グループあたり15,000円を上限としてその宿泊費の2分の1を補助します。 ご利用には事前申請等のお手続きが必要ですので、お気軽にお問い合わせください。 泰阜村移住体験宿泊費補助金交付要綱【P
