municipalityCode,municipalityName,rescore,hasStrong,hasAmount,hasTarget,hasDeadline,title,h1,sourceUrl,snippet
"20481","池田町","58","true","true","true","true","池田町エコ住宅リフォーム促進事業補助金について","池田町エコ住宅リフォーム促進事業補助金について","https://www.ikedamachi.net/0000003340.html","補助金について | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください"
"20481","池田町","58","true","true","true","true","令和8年度 犬・猫不妊・去勢手術費の補助金について","令和8年度 犬・猫不妊・去勢手術費の補助金について","https://www.ikedamachi.net/0000002691.html","補助金について | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください"
"20481","池田町","58","true","true","true","true","生ごみ処理機等購入費補助金について","生ごみ処理機等購入費補助金について","https://www.ikedamachi.net/0000000956.html","補助金について | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください"
"20481","池田町","58","true","true","true","true","UIJターン就業・創業移住支援事業補助金","UIJターン就業・創業移住支援事業補助金","https://www.ikedamachi.net/iju/0000001734.html","補助金 | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホー"
"20481","池田町","58","true","true","true","true","定額減税しきれないと見込まれる方への給付金（調整給付金）について（受付は終了しました。）","定額減税しきれないと見込まれる方への給付金（調整給付金）について（受付は終了しました。）","https://www.ikedamachi.net/0000003437.html","給付金（調整給付金）について（受付は終了しました。） | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メ"
"20481","池田町","58","true","true","true","true","池田町住宅用太陽光発電システム設置費補助金について","池田町住宅用太陽光発電システム設置費補助金について","https://www.ikedamachi.net/0000000285.html","補助金について | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください"
"20481","池田町","58","true","true","true","true","池田町商業振興対策事業補助金について","池田町商業振興対策事業補助金について","https://www.ikedamachi.net/0000001739.html","補助金について | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください"
"20481","池田町","58","true","true","true","true","池田町創業支援事業補助金","池田町創業支援事業補助金","https://www.ikedamachi.net/0000001735.html","補助金 | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホー"
"20481","池田町","58","true","true","true","true","定額減税しきれない方への給付金（不足額給付）について（受付は終了しました。）","定額減税しきれない方への給付金（不足額給付）について（受付は終了しました。）","https://www.ikedamachi.net/0000003839.html","給付金（不足額給付）について（受付は終了しました。） | 長野県・あづみ野・池田町 共通メニューなどをスキップして本文へ お問い合わせ やさしい日本語 ひらがな Language 背景色 標準 反転 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メ"
"20482","松川村","58","true","true","true","true","ブロック塀等撤去事業補助金について","ブロック塀等撤去事業補助金について","https://www.vill.matsukawa.nagano.jp/prevention/?content=1652","補助金について｜防災情報｜松川村 本文へ メニュー 閉じる くらし・手続き 戸籍・住民票 税金・国民年金 住まい・土地 上下水道 ごみ・分別 ペット・動物 生活・環境 助成・手当 交通安全 消費生活 健康・福祉 健康づくり 高齢者福祉 障がい者福祉 検診・予防接種 国民健康保険 医療助成 教育・文化 認定こども園 子育て支援 補助・給付 小・中学校 教育委員会 伝承・文化 観光・産業 観光施設・観光情報 体験・お土産 イベント情報 農業"
