municipalityCode,municipalityName,title,url,hits
"01223","根室市","【3月1日開始】給付金のオンライン申請受付開始について","https://www.city.nemuro.hokkaido.jp/lifeinfo/jyuyo/15072.html","給付金|事業者"
"01223","根室市","食料品等物価高騰生活支援給付金オンライン申請","https://www.city.nemuro.hokkaido.jp/lifeinfo/keyword/15073.html","給付金|事業者"
"01224","千歳市","【保険料】旧被扶養者減免の応益割部分（均等割及び平等割）の保険料軽減措置見直し","https://www.city.chitose.lg.jp/c10/1002548/1002590/1004508.html","減免|移住|農業|林業|福祉|子育て|就学"
"01224","千歳市","ひとり親家庭等医療費助成制度について","https://www.city.chitose.lg.jp/c10/1002548/1002591/1005155.html","助成金|医療費助成|移住|農業|林業|福祉|子育て|予防接種"
"01224","千歳市","下水道受益者負担金・水洗便所改造資金貸付制度について","https://www.city.chitose.lg.jp/c10/1002549/1002597/1005674.html","貸付|移住|農業|林業|福祉|子育て"
"01224","千歳市","医療費助成制度におけるマイナンバーを利用した情報連携について","https://www.city.chitose.lg.jp/c10/1002548/1002591/1004559.html","医療費助成|移住|農業|林業|福祉|子育て"
"01224","千歳市","国民健康保険料の産前産後期間減免制度について","https://www.city.chitose.lg.jp/c10/1002548/1002590/1003963.html","減免|免除|移住|農業|林業|福祉|子育て|就学"
"01224","千歳市","子ども医療費助成制度について","https://www.city.chitose.lg.jp/c10/1002548/1002591/1006283.html","補助金|助成金|医療費助成|移住|農業|林業|福祉|子育て|予防接種"
"01224","千歳市","軽自動車税の減免について","https://www.city.chitose.lg.jp/c10/1002547/1002584/1003687.html","減免|免除|移住|農業|林業|福祉|子育て"
"01224","千歳市","重度心身障がい者医療費助成制度について","https://www.city.chitose.lg.jp/c10/1002548/1002591/1005153.html","助成金|医療費助成|移住|農業|林業|福祉|子育て|予防接種"
"01225","滝川市","国民健康保険出産育児一時金の支給について","https://www.city.takikawa.lg.jp/page/1939.html","一時金|住宅|福祉|子育て"
"01225","滝川市","子ども医療費助成制度","https://www.city.takikawa.lg.jp/site/kosodate/1966.html","給付金|医療費助成|子育て"
"01225","滝川市","空知管内公共ホール使用料等補助金交付制度について","https://www.city.takikawa.lg.jp/site/syakaikyouiku/2817.html","補助金|住宅|福祉|子育て"
"01225","滝川市","重度心身障害者医療費助成制度","https://www.city.takikawa.lg.jp/page/1967.html","給付金|医療費助成|住宅|福祉|子育て"
"01227","歌志内市","ハチの巣駆除助成金","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00003894.html","助成金|移住|住宅|空き家|福祉|子育て"
"01227","歌志内市","子育て世帯等移住応援助成金","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00004152.html","助成金|移住|住宅|空き家|福祉|子育て"
"01227","歌志内市","市営住宅の家賃の減免について","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00004301.html","減免|免除|移住|住宅|空き家|福祉|子育て"
"01227","歌志内市","市有財産の売却・貸付について","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00003063.html","奨励金|貸付|移住|住宅|空き家|空家|福祉|子育て"
"01227","歌志内市","新型コロナウイルス感染症の影響による市営住宅入居者に対する家賃減免措置について","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00002006.html","減免|移住|住宅|空き家|福祉|子育て"
"01227","歌志内市","歌志内市骨髄ドナー助成金交付事業","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00004425.html","補助金|助成金|移住|住宅|空き家|福祉|子育て|予防接種"
"01227","歌志内市","歌志内市高等学校等学習用パソコン購入費補助金制度について","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00003712.html","補助金|移住|住宅|空き家|福祉|子育て"
"01227","歌志内市","水洗化工事資金の無利子貸付制度","https://www.city.utashinai.hokkaido.jp/hotnews/detail/00000102.html","貸付|移住|住宅|空き家|福祉|子育て"
