slug	organization	status	url	note
okinawa-official-005-001-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n8761.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-002-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n7888.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-003-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n7768.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-004-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n7768.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-005-2026	北谷町	200	https://www.chatan.jp/kosodate/kosodate/teate_support/bansougatasoudan.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-006-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n8837.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-007-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n8329.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-008-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n8221.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-009-2026	嘉手納町	200	https://www.town.kadena.okinawa.jp/info/n8222.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-010-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/hoikusho_yochien/1945.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-011-2026	北谷町	200	https://www.chatan.jp/kosodate/kosodate/teate_support/boshi_fushi.files/R080401chirashi.pdf	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-012-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/jidofukushi/3774.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-013-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/bamen/nyuennyugaku/1665.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-014-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/fukushi/shakai/1495.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-015-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/iinkai/kyouiku/teate/274.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-016-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/iinkai/kyusyoku/1471.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-017-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/iinkai/shogai/shakai/3677.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-018-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/kodomo/jidou/teate/344.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-019-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/kodomo/jidou/teate/4579.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-020-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/kodomo/jidou/teate/SingleParentFamilySupport/343.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-021-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/kodomo/jidou/teate/SingleParentFamilySupport/2488.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-022-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/kodomo/jidou/teate/children_allowance/201.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-023-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kodomonotobira/5411.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-024-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kodomonotobira/5409.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-025-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/teate_kosodate/3493.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-026-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/iryo_kenko_fukushi/seikatsu_fukushi/3497.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-027-2026	伊江村	200	https://www.iejima.org/document/2015070800045/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-028-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kodomonotobira/5781.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-029-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/teate_kosodate/3661.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-030-2026	伊江村	200	https://www.iejima.org/document/2026071000013/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-031-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/pickup/7150.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-032-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kodomonotobira/6096.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-033-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/boshi_kenko/support_kenko/2061.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-034-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/bamen/nyuennyugaku/3647.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-035-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/iinkai/kyouiku/teate/3435.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-036-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/jouge/gesui/13.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-037-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/jouge/gesui/2661.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-038-2026	伊江村	200	https://www.iejima.org/document/2024101100023/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-039-2026	伊江村	200	https://www.iejima.org/document/2015042700038/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-040-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/jidofukushi/5861.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-041-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/kyoiku_iinkai/6632.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-042-2026	伊江村	200	https://www.iejima.org/document/2024041200050/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-043-2026	伊江村	200	https://www.iejima.org/document/2020101900014/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-044-2026	伊江村	200	https://www.iejima.org/document/2020081300057/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-045-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/life_scene/kosodate/6924.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-046-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kodomonotobira/5414.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-047-2026	北中城村	200	https://www.vill.kitanakagusuku.lg.jp/kakuka/kikaku/chiiki/chiiki/4689.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-048-2026	伊江村	200	https://www.iejima.org/document/2023121400014/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-049-2026	伊江村	200	https://www.iejima.org/document/2015021800155/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-050-2026	伊江村	200	https://www.iejima.org/document/2021071200012/	direct-fetch-or-candidate-evidence-retained
okinawa-official-005-051-2026	北谷町	200	https://www.chatan.jp/kenko_fukushi/koureishafukushi/oshirase/hochoukijosei.html	fallback-evidence-retained-for-refetch-limited-pages
okinawa-official-005-052-2026	読谷村	200	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/ninshin_shussan/6300.html	direct-fetch-or-candidate-evidence-retained
