slug	organization	status	url	note
okinawa-official-004-001-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/3/2/2/5304.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-002-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/2/4_1/2/576.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-003-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/2/5009.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-004-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/3_1/4873.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-005-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/2/4/1205.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-006-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/3_1/5277.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-007-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/fukushi/5/3/3/475.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-008-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kenko_fukushi/1971.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-009-2026	今帰仁村	200	https://www.nakijin.jp/pagtop/kakuka/fukushi/3/4871.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-010-2026	本部町	200	https://www.town.motobu.okinawa.jp/doc/2024092700035/	candidate-evidence-retained-after-local-refetch-block
okinawa-official-004-011-2026	恩納村	200	https://www.vill.onna.okinawa.jp/business/industry/1536642025/	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-012-2026	恩納村	200	https://www.vill.onna.okinawa.jp/living/welfare/1700639481/	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-013-2026	恩納村	200	https://www.vill.onna.okinawa.jp/topics/1677812353/	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-014-2026	恩納村	200	https://www.vill.onna.okinawa.jp/living/welfare/1621406896/	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-015-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kyoiku/gakko/1258.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-016-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/shigoto-sangyo/koyo-shuro/525.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-017-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kyoiku/gakko/1339.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-018-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/soshiki/1005/oshirase/1342.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-019-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kenko-fukushi/fukushi-service/1/633.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-020-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kenko-fukushi/fukushi-service/1/670.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-021-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kenko-fukushi/fukushi-service/2/640.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-022-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/soshiki/1001/oshirase/977.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-023-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kosodate-kyoiku/gakko/2/613.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-024-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kosodate-kyoiku/kosodate/651.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-025-2026	宜野座村	200	https://www.vill.ginoza.okinawa.jp/kenko-fukushi/fukushi-service/1/673.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-026-2026	金武町	200	https://www.town.kin.okinawa.jp/kurashi_tetsuzuki/jogesuido/1762.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-027-2026	金武町	200	https://www.town.kin.okinawa.jp/iryo_kenko_fukushi/shogaishafukushi/1815.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-028-2026	金武町	200	https://www.town.kin.okinawa.jp/kosodate_kyoiku/kyoikuiinkai/1755.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-029-2026	金武町	200	https://www.town.kin.okinawa.jp/iryo_kenko_fukushi/koreishafukushi_kaigo/koureisya-sa-bisu/2248.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-030-2026	金武町	200	https://www.town.kin.okinawa.jp/iryo_kenko_fukushi/koreishafukushi_kaigo/koureisya-sa-bisu/2242.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-031-2026	金武町	200	https://www.town.kin.okinawa.jp/iryo_kenko_fukushi/koreishafukushi_kaigo/koreishamukenosuppoort/1/2221.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-032-2026	金武町	200	https://www.town.kin.okinawa.jp/iryo_kenko_fukushi/koreishafukushi_kaigo/koreishamukenosuppoort/1/2222.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-033-2026	金武町	200	https://www.town.kin.okinawa.jp/kosodate_kyoiku/ninshin_shussan/suppoort_ninshin_shussan/650.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-004-034-2026	本部町	200	https://www.town.motobu.okinawa.jp/doc/2024091800019/	candidate-evidence-retained-after-local-refetch-block
okinawa-official-004-035-2026	本部町	200	https://www.town.motobu.okinawa.jp/doc/2023111300133/	candidate-evidence-retained-after-local-refetch-block
okinawa-official-004-036-2026	本部町	200	https://www.town.motobu.okinawa.jp/doc/2023111500106/	candidate-evidence-retained-after-local-refetch-block
okinawa-official-004-037-2026	本部町	200	https://www.town.motobu.okinawa.jp/doc/2023111500069/	candidate-evidence-retained-after-local-refetch-block
okinawa-official-004-038-2026	本部町	200	https://www.town.motobu.okinawa.jp/doc/2024092700042/	candidate-evidence-retained-after-local-refetch-block
