slug	organization	title	maxAmount	url	evidence
nagasaki-official-002-001-2026	平戸市	平戸市 医療費受給者証のオンライン資格確認について（乳幼児・子ども・ひとり親）	医療費の自己負担分等を助成	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/teate/2026-0331-1716-1.html	医療費受給者証のオンライン資格確認について（乳幼児・子ども・ひとり親） 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > 手当・給付金・助成 > 医療費受給者証のオンライン資格確認について（乳幼児・子ども・ひとり親） 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金
nagasaki-official-002-002-2026	平戸市	平戸市 特別児童扶養手当	所得・対象区分に応じて手当等を支給	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/teate/tokuji.html	特別児童扶養手当 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > 手当・給付金・助成 > 特別児童扶養手当 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生涯学習 特別児
nagasaki-official-002-003-2026	平戸市	平戸市 福祉医療費（こども）	医療費の自己負担分等を助成	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/teate/cc06.html	福祉医療費（こども） 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > 手当・給付金・助成 > 福祉医療費（こども） 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生涯学習
nagasaki-official-002-004-2026	平戸市	平戸市 児童手当	所得・対象区分に応じて手当等を支給	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/teate/jidouteate.html	児童手当 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > 手当・給付金・助成 > 児童手当 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生涯学習 児童手当 児童手当は、
nagasaki-official-002-005-2026	平戸市	平戸市 各種資金貸付	公式ページ記載の貸付額・貸付条件に従う	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/bofusi/hukushishikinkashitsuke.html	各種資金貸付 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > ひとり親家庭支援 > 各種資金貸付 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生涯学習 各種資金貸付 ひ
nagasaki-official-002-006-2026	平戸市	平戸市 福祉医療費（ひとり親等）	医療費の自己負担分等を助成	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/bofusi/hukushiiryo_hitorioya.html	福祉医療費（ひとり親等） 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > ひとり親家庭支援 > 福祉医療費（ひとり親等） 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生
nagasaki-official-002-007-2026	平戸市	平戸市 児童扶養手当	所得・対象区分に応じて手当等を支給	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/bofusi/jifu.html	児童扶養手当 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > ひとり親家庭支援 > 児童扶養手当 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生涯学習 児童扶養手当 父
nagasaki-official-002-008-2026	平戸市	平戸市 自立支援教育訓練給付金	公式ページ記載の給付額・支援額に従う	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/bofusi/jiritusienkyoiku.html	自立支援教育訓練給付金 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > 母子・父子家庭 > 自立支援教育訓練給付金 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生涯学習
nagasaki-official-002-009-2026	平戸市	平戸市 高卒認定試験合格支援給付金	公式ページ記載の給付額・支援額に従う	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/bofusi/kosotsunintei.html	高卒認定試験合格支援給付金 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > 母子・父子家庭 > 高卒認定試験合格支援給付金 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校
nagasaki-official-002-010-2026	平戸市	平戸市 高等職業訓練促進給付金	公式ページ記載の給付額・支援額に従う	https://www.city.hirado.nagasaki.jp/kurashi/learn/childcare/bofusi/syokugyokunren.html	高等職業訓練促進給付金 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 子育て支援 > 母子・父子家庭 > 高等職業訓練促進給付金 子育て教育 子育て支援 ひとり親家庭支援 手当・給付金・助成 各種サービス・相談体制 計画・ハンドブック 幼児教育・保育 妊娠・出産 教育・学校 生涯学習
nagasaki-official-002-011-2026	平戸市	平戸市 不妊治療時交通費助成事業	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/learn/birth/2026-0317-1626-106.html	不妊治療時交通費助成事業 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 妊娠・出産 > 不妊治療時交通費助成事業 子育て教育 子育て支援 幼児教育・保育 妊娠・出産 教育・学校 生涯学習 不妊治療時交通費助成事業 不妊治療を受診された方に対し、不妊治療時にかかる交通費の一部助成を行い
nagasaki-official-002-012-2026	平戸市	平戸市 平戸市 出産・子育て応援事業	1人につき５万円	https://www.city.hirado.nagasaki.jp/kurashi/learn/birth/2023-0512-1726-106kyuufukinn.html	平戸市 出産・子育て応援事業 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 子育て・教育 > 妊娠・出産 > 平戸市 出産・子育て応援事業 子育て教育 子育て支援 幼児教育・保育 妊娠・出産 教育・学校 生涯学習 平戸市 出産・子育て応援事業 すべての妊婦や子育て家庭が安心して出産、子育てができるよう
nagasaki-official-002-013-2026	平戸市	平戸市 介護給付	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/health/kaigo/kaigo/kaigokyufu/index.html	介護給付 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 健康・福祉 > 高齢者支援 > 介護保険 > 介護給付 健康福祉 医療情報 健康づくり 健康診査 予防接種 高齢者支援 介護保険 介護保険料 要介護認定 介護給付 後期高齢者医療 介護人材 介護予防・日常生活支援総合事業 障がい者支援 地域福祉
nagasaki-official-002-014-2026	平戸市	平戸市 平戸市高齢者いきいきおでかけ支援事業	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/health/kaigo/2018-0731-1001-100.html	平戸市高齢者いきいきおでかけ支援事業 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 健康・福祉 > 高齢者支援 > 平戸市高齢者補聴器購入費助成事業 健康福祉 医療情報 健康づくり 健康診査 予防接種 高齢者支援 介護保険 後期高齢者医療 介護人材 介護予防・日常生活支援総合事業 障がい者支援 地域福
nagasaki-official-002-015-2026	平戸市	平戸市 特別障害者手当・障害児福祉手当	所得・対象区分に応じて手当等を支給	https://www.city.hirado.nagasaki.jp/kurashi/health/assistive/2019-0927-1425-102.html	特別障害者手当・障害児福祉手当 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 健康・福祉 > 障がい者支援 > 特別障害者手当・障害児福祉手当 健康福祉 医療情報 健康づくり 健康診査 予防接種 高齢者支援 介護人材 介護予防・日常生活支援総合事業 障がい者支援 地域福祉 生活保護 感染症 その他 特
nagasaki-official-002-016-2026	平戸市	平戸市 福祉タクシー助成事業	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/health/assistive/2019-0927-1309-102.html	福祉タクシー助成事業 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 健康・福祉 > 障がい者支援 > 障害者福祉タクシー助成事業 健康福祉 医療情報 健康づくり 健康診査 予防接種 高齢者支援 介護人材 介護予防・日常生活支援総合事業 障がい者支援 地域福祉 生活保護 感染症 その他 障害者福祉タクシ
nagasaki-official-002-017-2026	平戸市	平戸市 交通船運賃助成事業	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/health/assistive/2019-1206-0907-102.html	交通船運賃助成事業 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 健康・福祉 > 障がい者支援 > 交通船運賃助成事業 健康福祉 医療情報 健康づくり 健康診査 予防接種 高齢者支援 介護人材 介護予防・日常生活支援総合事業 障がい者支援 地域福祉 生活保護 感染症 その他 交通船運賃助成事業 平戸市
nagasaki-official-002-018-2026	平戸市	平戸市 日常生活用具の給付	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/health/assistive/2019-1206-1037-102.html	日常生活用具の給付 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 健康・福祉 > 障がい者支援 > 日常生活用具の給付 健康福祉 医療情報 健康づくり 健康診査 予防接種 高齢者支援 介護人材 介護予防・日常生活支援総合事業 障がい者支援 地域福祉 生活保護 感染症 その他 日常生活用具の給付 在宅の
nagasaki-official-002-019-2026	平戸市	平戸市 障害者福祉医療費支給制度	医療費の自己負担分等を助成	https://www.city.hirado.nagasaki.jp/kurashi/health/assistive/as03.html	障害者福祉医療費支給制度 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 健康・福祉 > 障がい者支援 > 障害者福祉医療費支給制度 健康福祉 医療情報 健康づくり 健康診査 予防接種 高齢者支援 介護人材 介護予防・日常生活支援総合事業 障がい者支援 地域福祉 生活保護 感染症 その他 障害者福祉医療
nagasaki-official-002-020-2026	平戸市	平戸市 出産育児一時金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/life/hoken/kokuho/kh07.html	出産育児一時金 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > くらし・手続き > 保険・年金 > 国民健康保険 > 出産育児一時金 くらし手続き 手続き ごみ・環境 相談窓口 水道について 税金について 保険・年金 国民健康保険 国民年金 暮らし・住まい 防災 消防について 公共交通機関 出産育児一時
nagasaki-official-002-021-2026	平戸市	平戸市 高額療養費委任払い	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/life/hoken/kokuho/kougakuininbarai.html	高額療養費委任払い 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > くらし・手続き > 保険・年金 > 国民健康保険 > 高額療養費委任払い くらし手続き 手続き ごみ・環境 相談窓口 水道について 税金について 保険・年金 国民健康保険 国民年金 暮らし・住まい 防災 消防について 公共交通機関 高額
nagasaki-official-002-022-2026	平戸市	平戸市 高額療養費	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/life/hoken/kokuho/kh05.html	高額療養費 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > くらし・手続き > 保険・年金 > 国民健康保険 > 高額療養費 くらし手続き 手続き ごみ・環境 相談窓口 水道について 税金について 保険・年金 国民健康保険 国民年金 暮らし・住まい 防災 消防について 公共交通機関 高額療養費 高額療養
nagasaki-official-002-023-2026	平戸市	平戸市 結婚新生活支援事業補助金のご案内	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/life/sumai/inaka/2022-0419-1015-215.html	結婚新生活支援事業補助金のご案内 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > くらし・手続き > 暮らし・住まい > 田舎暮らし情報 > 結婚新生活支援事業補助金のご案内 くらし手続き 手続き ごみ・環境 相談窓口 水道について 税金について 保険・年金 暮らし・住まい 市営住宅 都市計画 空き家関
nagasaki-official-002-024-2026	平戸市	平戸市 平戸市スポーツ振興事業補助金（担当課審査）	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.hirado.nagasaki.jp/kurashi/culture/sports/sp04.html	平戸市スポーツ振興事業補助金（担当課審査） 音声読み上げ 文字の大きさ・色の変更 Foreign Language トップ くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 産業・ビジネス 平戸市・行政情報 トップ > 文化・スポーツ > スポーツ情報 > 平戸市スポーツ推進事業補助金 文化スポーツ 文化情報 スポーツ情報 文化交流 平戸市スポーツ推進事業補助金 平戸市スポーツ推進事業補助金について 補助の内容、対象 地域スポー
