municipality,rescore,title,h1,url,hasAmount,hasTarget,hasDeadline,strongHit,snippet
"名張市","42","新着情報一覧","新着情報一覧","https://www.city.nabari.lg.jp/news.html","false","true","true","補助金|奨学金","況の最終公表について お知らせ 名張市内のコミュニティバスの経路検索サイトの検索方法とマイ時刻表の活用について お知らせ 広報なばり令和8年4月号を発行しました お知らせ 消防関係手続の電子申請はe-Govをご利用ください お知らせ 日勤救急隊の運用を開始します お知らせ 【事業者向け】令和8年度エネルギー価格等高騰対応 省エネ推進・生産性向上・業態転換支援補助金のご案内（国の重点支援地方交付金活用事業） お知らせ 【乳幼児対象】市外の医療機関等でインフルエンザ予防接種を受け"
"名張市","42","子育てにかかる各種手当／ひとり親・寡婦家庭への支援","子育てにかかる各種手当／ひとり親・寡婦家庭への支援","https://www.city.nabari.lg.jp/030/050/","true","true","true","給付金|手当","子育てにかかる各種手当／ひとり親・寡婦家庭への支援 ひとり親・寡婦家庭への支援 子育てワンストップサービス 公務員のかたの児童手当 児童手当 児童扶養手当と障害年金の併給調整の見直しについて 令和4年度子育て世帯に対する子育て世帯生活支援特別給付金（ひとり親世帯以外分） 特別児童扶養手当 民法等の一部を改正する法律（父母の離婚後等の子の養育に関する見直し）について 物価高対応子育て応援手当支給のご案内 児童扶養手当"
"鈴鹿市","41","産業政策課","産業政策課","https://www.city.suzuka.lg.jp/shisei/1011225/shinsei/1009713/1009714.html","true","true","true","助成金|奨励金","産業政策課 ページ番号1009714 更新日 2025年4月1日 印刷 大きな文字で印刷 産業政策課 鈴鹿市企業立地支援制度 鈴鹿市企業立地支援制度 立地環境整備認定申請書（第1号様式） （PDF 85.0KB） 立地環境整備認定申請書（第1号様式） （Word 28.5KB） 工場等設置奨励金交付要件認定申請書（第3号様式） （PDF 94.5KB） 工場等設置奨励金交付要件認定申請書（第3号様式） （Word 29.5KB） 工場等設置奨励金交付申請書（第5号様式） （P"
"亀山市","37","ホーム","ホーム","https://www.city.kameyama.mie.jp/docs/2020020700016/","false","true","true","一時金|手当|医療費助成|免除","の交付は予約制となっていますので、事前にお問い合わせください。 ※毎月第3土曜日の翌日の日曜日は、システムメンテナンスのため、マイナンバカードに関する手続きがすべてできません。 市民課 (国民健康保険グループ) TEL84-5006 受付 国民健康保険関係 ・国民健康保険異動届（加入・脱退） ・保険証、高齢受給者証の再交付申請 ・高額療養費、療養費、出産育児一時金、葬祭費の支給申請 ・相談業務はできません。 ・医療機関等、年金事務所、その他外部機関への確認が必要な手続きはでき"
"亀山市","37","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/scene/fukushi/shogai/","false","true","true","補助金|給付金|手当|減免","ホーム カテゴリ ライフシーン 高齢者・障がい者福祉 障がい者福祉 障がい者福祉 ツイート シェア このページを印刷する 保険・年金・税金 国民年金手続きの電子申請について 年金生活者支援給付金制度 国民年金の受給 公的年金制度のしくみ 国民健康保険の給付 国民健康保険への加入・脱退 国民健康保険税 身体障がい者等に対する軽自動車税種別割の減免について 国民年金 バリアフリー改修に伴う固定資産税の減額制度 支援・取り組み 高齢者等世帯粗大ごみ軒先収集制度 蜂の巣の除去について"
"鈴鹿市","37","物価高騰対応家計応援金","物価高騰対応家計応援金","https://www.city.suzuka.lg.jp/fukushi/shien/1016275/1016198.html","true","true","true","給付金|手当","ある市民 支給金額 1人あたり5千円 令和7年度住民税非課税世帯および均等割のみ課税世帯（※）は1世帯あたり2千円を加算 ※住民税所得割が課税されている方の扶養親族のみで構成される世帯を除く 支給方法 世帯員全員分を合算して世帯主名義の口座に振込み 手続方法 （1）登録口座振込方式 対象者 本市から物価高騰対応重点支援地方創生臨時交付金の非課税世帯給付や児童手当等を受けたことがある方、または、マイナンバーの公金受取口座（本人名義）の登録がある方 ※ただし、上記の給付金等を受給"
"亀山市","36","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/scene/kenko/","false","false","true","補助金|助成金|手当|医療費助成","診 集団検診の二次募集について 特定健康診査・特定保健指導を受けましょう！ 健診について（国民健康保険） 亀山市が実施するけん診について 子宮頸がん検診について（集団的個別子宮頸がん検診） 健診結果の提供にご協力ください 歯周病検診を受けましょう！ 医療 かかりつけ医・お薬手帳・かかりつけ薬局を持ちましょう 福祉医療費の助成制度 亀山市骨髄移植ドナー支援事業助成金 亀山市AYA世代等のがん患者に対する在宅療養支援事業 亀山市がん患者医療用ウィッグ等購入費支援事業助成金 国民健"
"亀山市","36","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/scene/fukushi/korei/","false","true","true","助成金|給付金|手当","ホーム カテゴリ ライフシーン 高齢者・障がい者福祉 高齢者福祉 高齢者福祉 ツイート シェア このページを印刷する 加齢にともない、耳が聞こえづらいと感じることはありませんか？ 保険・年金・税金 インターネットによる公示送達（介護保険料関係） 国民年金手続きの電子申請について 年金生活者支援給付金制度 国民年金の受給 公的年金制度のしくみ 介護保険料 国民健康保険の給付 国民健康保険への加入・脱退 国民健康保険税 後期高齢者医療制度 国民年金 バリアフリー改修に伴う固定資産"
"亀山市","36","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/bunya/life/kenko/","false","true","true","補助金|助成金|手当"," 市内陽性者の発生状況（令和4年11月） 市内陽性者の発生状況（令和4年10月） 一覧へ 予防接種 遅らせないで！子どもの予防接種と乳幼児健診 不妊治療・不育症治療 亀山市特定不妊治療費助成事業（着床前胚染色体異数性検査（PGT-A）を含む） 亀山市特定不妊治療費助成事業（保険適用終了後の特定不妊治療費に対する助成回数追加） 亀山市特定不妊治療費（先進医療）助成金 不妊治療・不育症治療に関する助成等について 不育症治療費助成金 亀山市不妊治療費助成金（こうのとり支援） 障がい"
"名張市","35","令和8年7月号【特集】令和8年度施政方針・補正予算｜固定資産税の税率見直しについて","令和8年7月号【特集】令和8年度施政方針・補正予算｜固定資産税の税率見直しについて","https://www.city.nabari.lg.jp/s010/110/080/010/2026/0807/20260626095745.html","true","true","true","貸付|免除","成します 11ページ【まちトピ】 高校生のアイデアで商店街が賑やかに！（青年会議所&times;英心高校「ドリームフェスティバル」） 12～13ページ【注目記事】 メイハンフィールド（市民陸上競技場）の改修資金にご協力を！ 14～19ページ【お知らせ】 第84回 名張川納涼花火大会 名張と周辺エリアの魅力満載！ばりフェス＆ダムグランフォンド 7月21日火から貸付要項を配布 東山墓園 墓所の使用者を募集 国民健康保険・後期高齢者医療制度 7月中旬に資格確認書などを送付 募集 ・"
