"municipality","rescore","priority","status","title","url","snippet"
"東伊豆町","15","medium","200","ふるさと納税／東伊豆町｜満点の海・山・空は東伊豆","https://www.town.higashiizu.lg.jp/gyoseijyoho/furusatonozei/index.html","スポーツを開く しごと・産業 しごと・産業を開く 行政情報 行政情報を開く 議会 議会を開く PC版で見る メニューを閉じる 現在のページ ホーム 行政情報 ふるさと納税 ふるさと納税 東伊豆町からのお知らせ ・ 「東伊豆町ふるさと納税感謝券」が現地で申込できるようになりました。 東伊豆町感謝券・宿泊補助券利用可能施設一覧 東伊豆町ふるさと納税記念品開発支援補助金公募案内 収納事務の委託について 企業版ふるさと納税 ふるさと納税事業者募集 ふるさと納税寄附金の活用事業の紹介 ふるさと納税の仕組み・やり方 返礼品のご紹介 ふるさと納税 法人番号1000020223018 〒413-0411 静岡"
"東伊豆町","12","low","200","町の仕事と連絡先／東伊豆町｜満点の海・山・空は東伊豆","https://www.town.higashiizu.lg.jp/soshiki/kikaku_cyoseika/2/28/828.html","豆町役場へメールを送信 東伊豆町役場内 連絡先一覧 庁舎内の案内図は下記リンクをご覧ください 庁舎内の案内図 総合案内 時間外は 0557-95-1100 へ 2階 正面玄関側 住民福祉課 係名 電話番号 主な仕事 窓口係 (0557) 95-6203 戸籍 住民登録 印鑑証明 庁舎内案内 環境センター 防疫 福祉係 (0557) 95-6204 老人 身体障害者 子育て支援係 (0557) 95-6204 児童 母子福祉 保育 熱川支所係 （出先機関） (0557) 23-2100 戸籍 住民登録 印鑑証明 税務諸証明 健康づくり課 係名 電話番号 主な仕事 国民保険係 (0557) 95-"
"東伊豆町","7","low","200","行政サイト／東伊豆町｜満点の海・山・空は東伊豆","https://www.town.higashiizu.lg.jp/gyosei/index.html","PC版で見る メニューを閉じる キーワードで探す Search by keywords くらしの場面で探す Search by life scene 妊娠・出産 子育て 入園・入学 結婚・離婚 住まい 引っ越し 退職・老後 ご不幸のときは ニュース News 現在、新着情報はございません。 過去のニュース 広報ひがしいず バックナンバー 「ひがしいずライフ」募集中！ 公式SNS 情報配信メール 特設サイト Special sites ひがしいずインフォメーション Higashiizu Information 町長の部屋 東伊豆町の紹介 ふるさと納税 移住・定住・ワーケーション 津波カメラ 地域"
"東伊豆町","4","low","200","移住定住ポータルサイト／東伊豆町｜満点の海・山・空は東伊豆","https://www.town.higashiizu.lg.jp/ijyu_teijyu/index.html","移住定住ポータルサイト／東伊豆町｜満点の海・山・空は東伊豆 スマートフォン版を表示 本文へ 文字設定 文字サイズ 背景色変更 設定を閉じる Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Go Select your language 住まい 仕事 子育て 移住 menu close 住まい 仕事 子育て 移住 文字サイズ 背景色変更 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Go Select your language PC版を見"
"東伊豆町","3","low","200","観光情報／東伊豆町｜満点の海・山・空は東伊豆","https://www.town.higashiizu.lg.jp/kanko_bunka_sports/kankojyohou/index.html","医療・健康・福祉 医療・健康・福祉を開く 子育て・教育 子育て・教育を開く 観光・文化・スポーツ 観光・文化・スポーツを開く しごと・産業 しごと・産業を開く 行政情報 行政情報を開く 議会 議会を開く PC版で見る メニューを閉じる 現在のページ ホーム 観光・文化・スポーツ 観光情報 観光情報 温泉・足湯 公園 味覚狩り 名物 その他 東伊豆町内のロケに補助金が交付されます 東伊豆町のロケについて 観光地エリア景観計画 日大宍戸ゼミ×東伊豆町特設サイトオープン！ 東伊豆町の魅力を映像でご紹介!! 東伊豆町観光コンセプトの決定について(公表) 法人番号1000020223018 〒413-0"
"東伊豆町","0","low","404","ご指定のページは見つかりませんでした／東伊豆町｜満点の海・山・空は東伊豆","https://www.town.higashiizu.lg.jp/robots.txt","ご指定のページは見つかりませんでした／東伊豆町｜満点の海・山・空は東伊豆 スマートフォン版を表示 本文へ 文字設定 文字サイズ 背景色変更 設定を閉じる Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Go Select your language くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子育て・教育 観光・文化・ スポーツ 観光・文化・スポーツ しごと・産業 しごと・産業 行政情報 行政情報 議会 議会 文字サイズ 背景色変更 Select Language English"
"東伊豆町","-2","low","200","サイトマップ／東伊豆町｜満点の海・山・空は東伊豆","https://www.town.higashiizu.lg.jp/936.html","ーツ 観光・文化・スポーツを開く しごと・産業 しごと・産業を開く 行政情報 行政情報を開く 議会 議会を開く PC版で見る メニューを閉じる 現在のページ ホーム サイトマップ サイトマップ 更新日：2024年12月02日 組織から探す くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 議会 くらしの場面で探す 申請書ダウンロード 施設マップ 移住定住ポータルサイト サイトのご利用について カテゴリリスト ホーム 法人番号1000020223018 〒413-0411 静岡県賀茂郡東伊豆町稲取3354 電話番号：0557-95-1100 開庁時間："
"河津町","109","medium","200","サイトマップ｜静岡県河津町役場","https://www.town.kawazu.shizuoka.jp/sitemap/","--> サイトマップ｜静岡県河津町役場 お使いのブラウザでは一部のコンテンツを正常にご覧いただくことができません。最新のブラウザにアップグレードしてください。 MENU メインメニュー ホーム 町民のみなさま 事業者のみなさま 観光情報 行政情報 お問い合わせ一覧 ライフシーンで探す 妊娠・出産・育児 入園・入学・生涯学習 就業・資格 結婚・離婚 引越し・住宅・交通 高齢者・介護 おくやみ 検診・保険 住民票・証明・ペット 税金・年金 障がい者支援 ごみ・環境 目的で探す 生活・手続き 福祉・子育て 健康・医療 教育・文化 手当・助成 産業・事業者 新着情報 すべて お知らせ イベント 募集 "
"河津町","78","medium","200","手当・助成の一覧｜静岡県河津町役場","https://www.town.kawazu.shizuoka.jp/choumin/purpose05/","--> 手当・助成の一覧｜静岡県河津町役場 お使いのブラウザでは一部のコンテンツを正常にご覧いただくことができません。最新のブラウザにアップグレードしてください。 MENU メインメニュー ホーム 町民のみなさま 事業者のみなさま 観光情報 行政情報 お問い合わせ一覧 ライフシーンで探す 妊娠・出産・育児 入園・入学・生涯学習 就業・資格 結婚・離婚 引越し・住宅・交通 高齢者・介護 おくやみ 検診・保険 住民票・証明・ペット 税金・年金 障がい者支援 ごみ・環境 目的で探す 生活・手続き 福祉・子育て 健康・医療 教育・文化 手当・助成 産業・事業者 新着情報 すべて お知らせ イベント 募"
"河津町","66","medium","200","妊娠・出産・育児の一覧｜静岡県河津町役場","https://www.town.kawazu.shizuoka.jp/choumin/life01/","--> 妊娠・出産・育児の一覧｜静岡県河津町役場 お使いのブラウザでは一部のコンテンツを正常にご覧いただくことができません。最新のブラウザにアップグレードしてください。 MENU メインメニュー ホーム 町民のみなさま 事業者のみなさま 観光情報 行政情報 お問い合わせ一覧 ライフシーンで探す 妊娠・出産・育児 入園・入学・生涯学習 就業・資格 結婚・離婚 引越し・住宅・交通 高齢者・介護 おくやみ 検診・保険 住民票・証明・ペット 税金・年金 障がい者支援 ごみ・環境 目的で探す 生活・手続き 福祉・子育て 健康・医療 教育・文化 手当・助成 産業・事業者 新着情報 すべて お知らせ イベン"
"河津町","60","medium","200","申請書ダウンロード｜静岡県河津町役場","https://www.town.kawazu.shizuoka.jp/gyousei/download/","--> 申請書ダウンロード｜静岡県河津町役場 お使いのブラウザでは一部のコンテンツを正常にご覧いただくことができません。最新のブラウザにアップグレードしてください。 MENU メインメニュー ホーム 町民のみなさま 事業者のみなさま 観光情報 行政情報 お問い合わせ一覧 ライフシーンで探す 妊娠・出産・育児 入園・入学・生涯学習 就業・資格 結婚・離婚 引越し・住宅・交通 高齢者・介護 おくやみ 検診・保険 住民票・証明・ペット 税金・年金 障がい者支援 ごみ・環境 目的で探す 生活・手続き 福祉・子育て 健康・医療 教育・文化 手当・助成 産業・事業者 新着情報 すべて お知らせ イベント "
