code,municipality,rescore,title,url,snippet
21221,海津市,85,"東京圏から移住された方に移住支援金を支給します",https://www.city.kaizu.lg.jp/iju/0000000729.html,"支援金の支給要件 住民票を移す直前の10年間のうち通算5年以上東京23区に在住していたこと、または、住民票を移す直前の10年間のうち通算5年以上東京圏に在住し、かつ、東京23区への通勤をしていたこと。 都道府県の求人マッチングサイト※を通じ、移住支援金の対象とする企業等に就業した方。 市町村の関係人口として認められた方、社会的事業分野で起業した方 申請後5年"
21221,海津市,85,"UIターン就職奨励金制度のお知らせ",https://www.city.kaizu.lg.jp/shisei/0000003915.html,"対象者 以下の要件にすべて当てはまる人が対象です。 （原則郵送不可） 申請様式は市ホームページからダウンロードできます。"
21302,岐南町,75,"葬祭補助金の交付申請について/ 岐南町公式ホームページ ぎなんねっと",https://www.town.ginan.lg.jp/1130.htm,""
21302,岐南町,65,"各種手当・助成/ 岐南町公式ホームページ ぎなんねっと",https://www.town.ginan.lg.jp/4227.htm,""
21341,養老町,65,"子育てに関する手当・助成",https://www.town.yoro.gifu.jp/yorokko/1002888/1001957/index.html,"子育てに関する手当・助成｜養老町公式ホームページ 当ホームページではjavascriptを使用しています。"
21303,笠松町,60,"水道料金の基本料金とメーター使用料を6か月分免除します",https://www.town.kasamatsu.gifu.jp/docs/2026021700017/,"（下水道使用料は減免に含みません。 ｛基本料金＋（使用水量－20立方メートル）&times;超過料金+口径別メーター使用料｝&times;消費税率1.1＝水道料金 ｛0円＋（60立方メートル－20立方メートル）&times;100円+0円｝&times;1.1＝4,400円 対象期間 令和8年度3期分（令和8年9月請求分）から令和8年度5期分（令和9年1月請"
21221,海津市,50,"海津温泉「宙舟の湯」",https://www.city.kaizu.lg.jp/kosodate/0000000354.html,"お問い合わせと案内図 住所 岐阜県海津市海津町福江560番地1 電話番号 0584-54-5220 開館時間 午前10時00分～午後9時30分 （最終受付午後9時00分） 休館日 毎月10日（土・日・祝日の場合翌平日） 駐車場 230台 入浴料金 癒しの湯・長寿の湯・ふくしの湯 共に 大人580円 小人200円 海津市に住所を有する65歳以上の方は、海津市高"
21341,養老町,50,"病児保育園 Support you",https://www.town.yoro.gifu.jp/yorokko/1002013/1002032.html,"所在地 養老町飯積1丁目56-2 電話 0584-84-8130 利用できる方 集団保育が困難な病児・病後児（生後8か月から小学校3年生まで） 養老町内在住または広域利用協定を締結した市町村に住所を有する児童 利用料金 2,000円／日（4時間を超える場合） 1,000円／日（4時間以内） ※18歳以下のお子さんを3人以上扶養されている世帯は減免制度がありま"
21221,海津市,45,"移住定住奨励金",https://www.city.kaizu.lg.jp/iju/category/5-9-0-0-0-0-0-0-0-0.html,""
21221,海津市,45,"助成・手当て",https://www.city.kaizu.lg.jp/kensaku/category/7-5-0-0-0-0-0-0-0-0.html,""
21221,海津市,45,"給付金・定額減税",https://www.city.kaizu.lg.jp/kurashi/category/1-11-11-0-0-0-0-0-0-0.html,""
21303,笠松町,45,"医療費助成",https://www.town.kasamatsu.gifu.jp/category/bunya/kosodate_kyouiku/kosodate/iryouhi_josei/,""
21303,笠松町,45,"手当・助成",https://www.town.kasamatsu.gifu.jp/category/bunya/kosodate_kyouiku/kosodate/teate_josei/,""
