code	organization	slug	title	category	status	officialUrl	snippet
32206	安来市	shimane-official-002-001-2026	安来市 母子家庭等自立支援給付金	childcare	200	https://www.city.yasugi.shimane.jp/kurashi/kyoiku/teate/boshikatei.html	島根県安来市：くらし：母子家庭等自立支援給付金 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 教育・子育て 手当 母子家庭等自立支援給付金 母
32206	安来市	shimane-official-002-002-2026	安来市 子ども医療費助成制度	medical	200	https://www.city.yasugi.shimane.jp/kurashi/kyoiku/shien/nyu-yo-iryo.html	島根県安来市：くらし：子ども医療費助成制度 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 教育・子育て 子育て支援 子ども医療費助成制度 子ど
32206	安来市	shimane-official-002-003-2026	安来市 児童扶養手当	childcare	200	https://www.city.yasugi.shimane.jp/kurashi/kyoiku/teate/jido-fuyo.html	島根県安来市：くらし：児童扶養手当 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 教育・子育て 手当 児童扶養手当 児童扶養手当 目的 父母の
32206	安来市	shimane-official-002-004-2026	安来市 児童手当	childcare	200	https://www.city.yasugi.shimane.jp/kurashi/kyoiku/teate/jido-teate.html	島根県安来市：くらし：児童手当 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 教育・子育て 手当 児童手当 児童手当 受給資格 安来市にお住ま
32206	安来市	shimane-official-002-005-2026	安来市 母子父子寡婦福祉資金貸付制度	childcare	200	https://www.city.yasugi.shimane.jp/kurashi/kyoiku/teate/boshi-fushi-kafu.html	島根県安来市：くらし：母子父子寡婦福祉資金 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 教育・子育て 手当 母子父子寡婦福祉資金 母子父子寡
32206	安来市	shimane-official-002-006-2026	安来市 自主防災組織育成事業補助金	living	200	https://www.city.yasugi.shimane.jp/kurashi/anzen/bousai/jishubousai.html	島根県安来市：くらし：自主防災組織育成事業補助金 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 安全・安心 防災 自主防災組織育成事業補助金
32206	安来市	shimane-official-002-007-2026	安来市 福祉医療費助成制度	medical	200	https://www.city.yasugi.shimane.jp/kurashi/kenko/shogaisha/fukushiiryo/	島根県安来市：くらし：福祉医療費助成制度（重度心身障がい者・ひとり親家庭の方） 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 健康・医療・福祉
32206	安来市	shimane-official-002-008-2026	安来市 空き家改修事業補助金制度	housing	200	https://www.city.yasugi.shimane.jp/kurashi/shushoku/teiju/akiya-kaishu-hojokin.html	島根県安来市：くらし：空き家改修事業補助金 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 就職・結婚・定住 安来で暮らしたい（定住支援） 空き
32206	安来市	shimane-official-002-009-2026	安来市 市民支援制度（補助金・助成金等）	living	200	https://www.city.yasugi.shimane.jp/kurashi/shiminkatsudo/chiikizukuri/shimin-shien-h29.html	島根県安来市：くらし：市民支援制度（補助金・助成金等） 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 市民活動・地域づくり 地域づくり 市民支
32206	安来市	shimane-official-002-010-2026	安来市 就学援助制度	education	200	https://www.city.yasugi.shimane.jp/kurashi/kyoiku/shugakuenjo.html	島根県安来市：くらし：就学援助 本文へ Foreign language 読み上げ ふりがな JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 文字サイズ 標準 拡大 くらし しごと 市政 キーワードから探す 現在位置 トップページ くらし 教育・子育て 就学援助 就学援助 経済的理由によりお子さんの就学
32207	江津市	shimane-official-002-011-2026	江津市 就学援助制度	education	200	https://www.city.gotsu.lg.jp/soshiki/28/7249.html	令和8年度就学援助制度のご案内 - 江津市ホームページ ページの先頭です。 メニューを飛ばして本文へ 閲覧補助・検索 メニュー JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる キーワードでさがす く
32207	江津市	shimane-official-002-012-2026	江津市 江津市奨学金	education	200	https://www.city.gotsu.lg.jp/soshiki/28/3635.html	江津市奨学金の奨学生を募集します - 江津市ホームページ ページの先頭です。 メニューを飛ばして本文へ 閲覧補助・検索 メニュー JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる キーワードでさがす
32207	江津市	shimane-official-002-013-2026	江津市 障がいのある人が対象となる手当制度や共済制度	nursing	200	https://www.city.gotsu.lg.jp/soshiki/9/27265.html	障がいのある人が対象となる手当制度や共済制度のご案内 - 江津市ホームページ ページの先頭です。 メニューを飛ばして本文へ 閲覧補助・検索 メニュー JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる
32207	江津市	shimane-official-002-014-2026	江津市 U・Iターンのための空き家改修費補助金	housing	200	https://www.city.gotsu.lg.jp/soshiki/3/1545.html	Ｕ・Ｉターンのための空き家改修費補助金 - 江津市ホームページ ページの先頭です。 メニューを飛ばして本文へ 閲覧補助・検索 メニュー JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる キーワードでさ
32207	江津市	shimane-official-002-015-2026	江津市 空き家バンク登録支援補助金	housing	200	https://www.city.gotsu.lg.jp/soshiki/3/36296.html	江津市空き家バンク登録支援補助金 - 江津市ホームページ ページの先頭です。 メニューを飛ばして本文へ 閲覧補助・検索 メニュー JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる キーワードでさがす
32207	江津市	shimane-official-002-016-2026	江津市 児童扶養手当	childcare	200	https://www.city.gotsu.lg.jp/soshiki/11/2268.html	児童扶養手当 - 江津市ホームページ ページの先頭です。 メニューを飛ばして本文へ 閲覧補助・検索 メニュー JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる キーワードでさがす くらし・手続き 子育
