slug	organization	title	maxAmount	url	evidence
nagasaki-official-005-001-2026	新上五島町	新上五島町 新上五島町老朽危険空き家除却費補助事業	限度額１００万円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=02640&r=1&wcid=i00002x6	新上五島町老朽危険空き家除却費補助事業について - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 手続き・相談 住まい・住居 新上五島町老朽危険空き家除却費補助事業について 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 新上五島町老朽危険空き家除却費補助事業について 新上五島町では、安全・安心な
nagasaki-official-005-002-2026	新上五島町	新上五島町 長崎県獣医師確保修学資金給付事業（地域枠）	月額１８万円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=07887&r=1&wcid=i00002x5	【長崎県よりお知らせ】令和８年度長崎県獣医師確保修学資金給付事業（地域枠）にかかる応募者の募集について（高校生等対象） - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 手続き・相談 しごと・就職 【長崎県よりお知らせ】令和８年度長崎県獣医師確保修学資金給付事業（地域枠）にかかる応募者の募集について（高校生等対象） 観光・文化・スポーツ
nagasaki-official-005-003-2026	新上五島町	新上五島町 太陽光発電設備設置補助金	補助金額補助率(１)太陽光発電設備個人：７万円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=07258&r=1&wcid=i00005x2	太陽光発電設備設置補助金について（新上五島町個人向け（事業者向け）地域脱炭素に向けた重点対策加速化事業費補助金） - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 まちづくり・環境 環境保全・自然環境 太陽光発電設備設置補助金について（新上五島町個人向け（事業者向け）地域脱炭素に向けた重点対策加速化事業費補助金） 観光・文化・スポーツ ←
nagasaki-official-005-004-2026	新上五島町	新上五島町 出産補助制度	公式ページ記載の補助率・上限額または支援内容に従う	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=07568&r=1&wcid=i00004x1	出産補助制度について - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 子育て・教育 妊娠・出産・妊婦 出産補助制度について 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 出産補助制度について 令和７年１０月１日以降の出産予定者を対象に別添資料のとおり拡充します。 〇問い合わせ先 福祉課「ココシ
nagasaki-official-005-005-2026	新上五島町	新上五島町 新上五島町耐震・安心住まいづくり支援事業	限度額：７０，０００円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=00709&r=1&wcid=i00002x6	新上五島町耐震・安心住まいづくり支援事業の実施について - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 手続き・相談 住まい・住居 新上五島町耐震・安心住まいづくり支援事業の実施について 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 新上五島町耐震・安心住まいづくり支援事業の実施について 新上
nagasaki-official-005-006-2026	新上五島町	新上五島町 大学生等インターンシップ事業助成	最大で５万円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=05468&r=1&wcid=i00005x7	【助成あり】大学生等インターンシップ事業について - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 まちづくり・環境 地域活動・ボランティア 【助成あり】大学生等インターンシップ事業について 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 【助成あり】大学生等インターンシップ事業について 町では、
nagasaki-official-005-007-2026	新上五島町	新上五島町 住民生活支援のための水道料金減免	公式ページ記載の補助率・上限額または支援内容に従う	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=07813&r=1&wcid=i00005x6	住民生活支援のための水道料金減免が２か月延長されます - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 まちづくり・環境 上下水道 住民生活支援のための水道料金減免が２か月延長されます 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 住民生活支援のための水道料金減免が２か月延長されます 現在、次の
nagasaki-official-005-008-2026	新上五島町	新上五島町 若者新規就労支援奨励金	上限：60万円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=06772&r=1&wcid=i00002x5	若者新規就労支援奨励金の受給資格登録及び交付申請の受付をしています。 - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 手続き・相談 しごと・就職 若者新規就労支援奨励金の受給資格登録及び交付申請の受付をしています。 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 若者新規就労支援奨励金の受給資格
nagasaki-official-005-009-2026	新上五島町	新上五島町 児童扶養手当	支給額表】（令和７年４月～）区分全部支給（月額）一部支給（月額）児童１人目46,690円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=05297&r=1&wcid=i00004x6	児童扶養手当 - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 子育て・教育 児童手当・医療費補助など 児童扶養手当 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 児童扶養手当 児童扶養手当とは 父母の離婚などにより、父又は母と生計を同じくしていない児童が育成されるひとり親家庭等の生活の安定と自
nagasaki-official-005-010-2026	新上五島町	新上五島町 特別児童扶養手当	支給額表】（令和７年度）区分支給額（月額）１級（重度障害児）56,800円	https://official.shinkamigoto.net/goto_kurashi_full.php?eid=05298&r=1&wcid=i00004x6	特別児童扶養手当 - くらしの情報 - 長崎県 五島列島 新上五島町公式 長崎県 五島列島 新上五島町 公式サイト メール RSS 地図 ホーム ホーム くらしの情報 子育て・教育 児童手当・医療費補助など 特別児童扶養手当 観光・文化・スポーツ ←印刷はこちら ツイートする シェアする 文字サイズ： 小 中 大 特別児童扶養手当 特別児童扶養手当とは 精神または身体に障害を有する20歳未満の児童を自宅で養育している方に、当該児童の福祉
