organization	title	url	seed
五島市	出会い・子育て・教育	https://www.city.goto.nagasaki.jp/li/kurashi/040/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	子育て	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	子育て支援	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	物価高対応子育て応援手当	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/040/030/20240118162229.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	小学生・中学生の福祉医療費の助成方法が変わります	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/020/20250728104936.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	児童扶養手当	https://www.city.goto.nagasaki.jp/s029/010/050/010/040/20200731.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	ひとり親家庭への医療費助成（福祉医療費支給制度）	https://www.city.goto.nagasaki.jp/s029/010/050/010/020/20190311172305.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	医療費の一部助成（乳幼児・子どもの福祉医療費）	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/020/20190310004133.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	児童手当	https://www.city.goto.nagasaki.jp/s029/010/020/010/020/010/20190310004528.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	子育てへの手当、医療費助成、支援	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	子どもの預かり、子育て支援	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/030/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/040/100/010/010/index.html
五島市	五島市一般不妊治療通院交通費等助成事業	https://www.city.goto.nagasaki.jp/s037/010/040/020/20190530212148.html	https://www.city.goto.nagasaki.jp/li/kurashi/050/050/index.html
五島市	五島市生殖補助医療費助成事業	https://www.city.goto.nagasaki.jp/s037/010/040/010/20190301161458.html	https://www.city.goto.nagasaki.jp/li/kurashi/050/050/index.html
五島市	予防接種・感染症	https://www.city.goto.nagasaki.jp/li/kurashi/050/040/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/050/050/index.html
五島市	助成金・割引	https://www.city.goto.nagasaki.jp/li/kurashi/050/050/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/050/050/index.html
五島市	障がい・生活福祉	https://www.city.goto.nagasaki.jp/li/kurashi/070/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	医療費の給付、助成（福祉医療費支給制度、自立支援医療）	https://www.city.goto.nagasaki.jp/s030/010/030/020/010/20190311213826.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	小児慢性特定疾病児童日常生活用具給付事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/080/20190311214550.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	医療的ケア児訪問型レスパイト助成事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/110/20230222154539.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	医療的ケア児非常用電源装置購入費助成事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/100/20230222154539.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	障害者自動車運転免許取得費助成事業	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/100/20190607105500.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	NHKテレビの受信料免除	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/020/20190311221204.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	生活福祉資金の貸付	https://www.city.goto.nagasaki.jp/s030/010/030/020/070/030/20190311221026.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	年金と手当	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	税金の控除、免除	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/020/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	障害者手帳	https://www.city.goto.nagasaki.jp/li/kurashi/070/010/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	障がい者への支援、助成	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	福祉サービス、地域支援事業、相談窓口	https://www.city.goto.nagasaki.jp/li/kurashi/070/030/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	障がい者福祉のための条例、施策、資料	https://www.city.goto.nagasaki.jp/li/kurashi/070/040/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	母子、父子、寡婦福祉	https://www.city.goto.nagasaki.jp/li/kurashi/070/060/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	障害者就労施設等の商品や労務を紹介	https://www.city.goto.nagasaki.jp/li/kurashi/070/070/index.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/index.html
五島市	障害児福祉手当	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/040/20190311232231.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	特別障害者手当	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/030/20190311232459.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	特別児童扶養手当	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/020/20260202165449.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	重度心身障害児福祉手当	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/050/20190311230640.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	児童扶養手当（父親または母親に障がいがある場合）	https://www.city.goto.nagasaki.jp/s030/010/030/020/050/010/20190311232849.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	障害基礎年金	https://www.city.goto.nagasaki.jp/s036/010/050/010/010/010/20190311160557.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	障害厚生年金	https://www.city.goto.nagasaki.jp/s036/010/050/010/010/020/20190311160406.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	特別障害者給付金	https://www.city.goto.nagasaki.jp/s036/010/050/010/010/030/20190311160214.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html
五島市	8月は児童扶養手当現況届の提出月です	https://www.city.goto.nagasaki.jp/s029/010/050/010/040/20200729.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/060/index.html
五島市	母子福祉資金、寡婦福祉資金	https://www.city.goto.nagasaki.jp/s029/010/050/010/010/20190311172448.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/060/index.html
五島市	寡婦への医療費助成（福祉医療費支給制度）	https://www.city.goto.nagasaki.jp/s029/010/050/010/030/20190311171651.html	https://www.city.goto.nagasaki.jp/li/kurashi/070/060/index.html
五島市	紙おむつ給付申請	https://www.city.goto.nagasaki.jp/s032/010/030/010/050/20190325000153.html	https://www.city.goto.nagasaki.jp/li/kurashi/030/040/index.html
五島市	補聴器購入費用助成	https://www.city.goto.nagasaki.jp/s032/010/030/010/100/20211007152513.html	https://www.city.goto.nagasaki.jp/li/kurashi/030/040/index.html
五島市	小離島地区高齢者自立支援事業	https://www.city.goto.nagasaki.jp/s032/010/030/010/040/20190324225423.html	https://www.city.goto.nagasaki.jp/li/kurashi/030/040/index.html
五島市	高齢者等緊急通報事業（シルバーホン）	https://www.city.goto.nagasaki.jp/s032/010/030/010/010/20190329215336.html	https://www.city.goto.nagasaki.jp/li/kurashi/030/040/index.html
