score	municipality	title	url	snippet
67	木祖村	木祖村	https://www.vill.kiso.nagano.jp/kurashi_joho/iju_teiju/akiyabank.html	た。 これに伴い、木祖村空き家バンクを利用し、物件の売買・賃貸を行う場合は、長野県宅地建物取引業協会中信支部会員となっている事業者が、内見や契約等、取引に係る仲介を行います。 ご利用の流れ等、詳細は以下のチラシをご覧ください。 木祖村空き家バンク制度に係る（公財）長野県宅地建物取引業協会との連携開始のお知らせ （261.9kbyte） 空き家バンク仲介手数料補助金をご活用ください！ 木祖村空き家バンクを通して契約が成立した場合、宅地建物取引業業者に支払った仲介手数料を補助します。 詳細は以下のチラシをご覧ください。 木祖村空き家バンク仲介手数料補助金のご案内（227.8kbyte）（156.4kbyte） 対象者 ・空き家バンクに登録している物件所有者で売買又は賃貸借契約を締結した方 ・空き家バンクに登録している物件利用者で売買又は賃貸借契約を締結した方 交付条件 ・木祖村空き家バンクを利用して、令和６年４月１日以降に空き家又は
67	大桑村	ようこそ大桑村定住補助金	https://www.vill.okuwa.lg.jp/okuwa/iju-teiju/yokoso_teijuhojokin.html	ようこそ大桑村定住補助金 | 大桑村公式サイト サイト内検索 防災情報 Translate 文字サイズ： 標準 大 トップ 大桑村について 移住・定住 ようこそ大桑村定住補助金 ようこそ大桑村定住補助金 更新日：2026年04月01日 村では、移住・定住の促進や担い手不足の解消、地域課題の解決を図るため、大桑村外から移住された人が一定の要件を満たした場合、ようこそ大桑村定住補助金を交付しています。 補助対象者 移住等の要件 を満たす転入時60歳未満の者のうち、 就業の要件 のいずれかを満たす就業をしている者かつ、同時に移住した世帯員に転入日時点で45歳以下の者（申請者含む）がいる世帯の者 ※申請期間が最大２年間あります。転入時点に就業要件を満たしていなかった場合でも、申請可能期間内に就業要件を満たした場合に申請が可能となります。 移住等の要件 村外から移住していること 令和７年４月１日以降に移住していること 補助金の申請が、移住
67	大桑村	大桑村空き家対策事業補助金	https://www.vill.okuwa.lg.jp/kurashi/sumai-jukyo/jutakuhojoseido/akiyataisaku.html	大桑村空き家対策事業補助金 | 大桑村公式サイト サイト内検索 防災情報 Translate 文字サイズ： 標準 大 トップ くらし 住まい・住居 住宅に関連する補助制度 大桑村空き家対策事業補助金 大桑村空き家対策事業補助金 更新日：2026年05月09日 空き家等の有効活用による定住人口の増加及び地域の活性化と、老朽空き家による周囲への被害を防止するため、空き家等に対する事業を実施した人に対し、補助金を交付します。 交付対象者 空き家活用事業:空き家等の所有者等 空き家改修事業:定住者(大桑村に住所を有する者(事業完了までに大桑村に住所を有する者を含む。)で10年以上定住する意思のある者) 空き家解体事業:空き家等の所有者等 ※各事業について、大桑村内に事業所(支店、営業所を含む。)を有する施工業者により行うものであること。 補助の概要 空き家活用事業 補助対象費用： 空き家等の有効活用を目的とし、空き家等を売却又は賃貸する
67	大桑村	ありがとう大桑村新社会人応援補助金	https://www.vill.okuwa.lg.jp/okuwa/iju-teiju/arigato_shinshakaijinouen.html?fbclid=IwAR03VITAANzJm-VC7x1MV9lQP4yZD8fp2RhCz6_em-H_mqF-tirjmxzta8s&amp;d=202507	ありがとう大桑村新社会人応援補助金 | 大桑村公式サイト サイト内検索 防災情報 Translate 文字サイズ： 標準 大 トップ 大桑村について 移住・定住 ありがとう大桑村新社会人応援補助金 ありがとう大桑村新社会人応援補助金 更新日：2026年04月01日 村では地域の担い手不足や地域課題の解決を図るため、新社会人となる村内に居住する人が一定の要件を満たした場合、ありがとう大桑村新社会人応援補助金交付要綱を令和７年４月１日より施行しています。 この補助金について、令和８年４月１日から交付申請の受付を開始します。 補助対象者 住所等の要件を満たす者のうち、就業要件を満たす就業をしている者で就業開始日が最終学歴の卒業年度の翌年度内である者 住所等の要件 原則として、最終学歴の在学時に村内に住所を有していたこと 補助金の申請が、就業開始日後１年が経過した日からその翌年度末までの期間にされたものであること 村内に、補助金の申請日
47	南木曽町	南木曽町物価高騰対策特別給付金事業	https://www.town.nagiso.nagano.jp/0000000299.html	南木曽町物価高騰対策特別給付金事業 | 南木曽町役場 ページの先頭です 共通メニューなどをスキップして本文へ 各課の窓口 Language 文字サイズ 標準 拡大 背景色 標準 反転 検索 ID検索 ID検索 閉じる 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効にしてください。 メニュー 閉じる トップページ くらし・手続き 表示 届出・証明 税金 保険・年金 道路・河川・建築 交通 ゴミ・環境 上下水道 補助金・助成金 給付金・支援金 申請書ダウンロ
47	南木曽町	人間ドック助成金	https://www.town.nagiso.nagano.jp/0000000150.html	人間ドック助成金 | 南木曽町役場 ページの先頭です 共通メニューなどをスキップして本文へ 各課の窓口 Language 文字サイズ 標準 拡大 背景色 標準 反転 検索 ID検索 ID検索 閉じる 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効にしてください。 メニュー 閉じる トップページ くらし・手続き 表示 届出・証明 税金 保険・年金 道路・河川・建築 交通 ゴミ・環境 上下水道 補助金・助成金 給付金・支援金 申請書ダウンロード 移住・住まい
47	南木曽町	国保の給付	https://www.town.nagiso.nagano.jp/0000000148.html	から文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効にしてください。 メニュー 閉じる トップページ くらし・手続き 表示 届出・証明 税金 保険・年金 道路・河川・建築 交通 ゴミ・環境 上下水道 補助金・助成金 給付金・支援金 申請書ダウンロード 移住・住まい 防災・防犯・安全 医療・健康・福祉 表示 緊急 医療・健康 高齢者福祉・介護 障がい者福祉 子育て・教育 表示 妊娠・出産・子育て 教育 歴史・文化 産業・しごと 表示 雇用・労働 産業振興 農林業支援 行政情報 表示 町長の部屋 南木曽町の概要 公共施設 電話帳 財政 ふるさと納税 施策・計画 まちづくり 議会 統計 広報・広聴 リニア対策 各種委員会・協議会 入札・契約 各課の窓口 Language 背景色
47	木祖村	木祖村	https://www.vill.kiso.nagano.jp/kurashi_joho/norigyo/syuunou.html	行われています。中でもJA木曽ブランドの「御嶽はくさい」は、永年の栽培実績に基づき、品質面での評価が高く、木曽地域を代表するブランド白菜として、市場からも高い評価を受けています。 農業従事者の高齢化や後継者問題等により「御嶽はくさい」の生産量が減少傾向にあるため、ブランドを維持していくために就農希望者を早急に確保し育成することを目的として、今回1名の研修生を募集します。長野県木曽農業改良普及センター、JA木曽等の関係機関と連携して研修から就農に至るまで支援を行います。 【プラス1】 農閑期（冬場11月中旬～4月上旬）の対応として座学の他に地場産業の体験実習を行うこともできます。 応募用紙のダウンロードは こちら（78kbyte） 農業研修生の受け入れ条件 応募資格、選考基準等 ・原則として満１８歳から、おおむね４０歳までの健康な者(健康診断書） ・農業への就農、体験や研修などに、強い意欲のある者 ・普通運転免許以上を有する者（Ａ
47	木祖村	空き家対策補助事業	https://www.vill.kiso.nagano.jp/kurashi_joho/hojokin/hojyoseido_akiya.html	空き家対策補助事業 | 信州木祖村 このページの本文へ 木祖村 --> 木祖村 サイト内検索 検索 Translate 文字サイズ 標準 大 TOP 行政情報 各種補助金 空き家対策補助事業 空き家対策補助事業 更新日： 2026年05月21日 空き家有効活用と老朽化した空き家の危険防止のため、補助事業を実施しています。 空き家活用事業補助金 空き家バンクに登録されており、5年以上賃貸住宅として使用可能又は売却可能な物件に対して清掃や家財道具の運び出し等の費用の一部を補助します。 （空き家バンクに登録し、賃貸や売却するために住宅内を片付けとすることが目的の補助です） 補助対象 補助対象者 補助率 補助金限度額 空き家を賃貸や売却するため家財道具の運搬や処分、屋内外の清掃に要する費用 所有者等※ 8/10 9万円 申請書（18.1kbyte） 誓約書（14.5kbyte） 空き家改修事業補助金 空き家バンクにより住宅を取得、賃貸し
47	木祖村	木祖村	https://www.vill.kiso.nagano.jp/kurashi_joho/iju_teiju/ijyuguide.html	2012.jp/date/kiso-iju 求人情報 木祖村周辺の新着求人情報です。 移住を検討する際に参考にしてください。 求人情報に関するお問い合わせは、お住まいの地域のハローワークで行えます。 木曽地域 自動車通勤を行う人が多いですが、勤務地によっては電車での通勤も可能です。 ハローワーク木曽福島提供の求人情報【木曽地域版】です。 週刊求人ホット情報 令和７年３月27日発行（811.3kbyte） 令和７年３月21日発行（611.3kbyte） 令和７年３月13日発行（1,150.8kbyte） 塩尻地域 木祖村から塩尻市へ通勤することが可能です。 ※塩尻駅まで車で約40分、電車で約30分で行くことが出来ます。 ハローワーク木曽福島提供の求人情報【塩尻地域版】です。 週刊求人ホット情報 令和７年３月27日発行（432.4kbyte） 令和７年３月21日発行（911.1kbyte） 令和７年３月13日発行（1,213.2kb
