slug	status	finalUrl	officialUrl	title
kumamoto-official-003-001-2026	200	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/shokogyo/2015361	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/shokogyo/2015361	宇城市 宇城市企業立地促進補助金
kumamoto-official-003-002-2026	200	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/shokogyo/2020778	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/shokogyo/2020778	宇城市 中小企業等経営強化法に基づく先端設備等導入計画
kumamoto-official-003-003-2026	200	https://www.city.uki.kumamoto.jp/kosodate/gakkokyoiku/2004938	https://www.city.uki.kumamoto.jp/kosodate/gakkokyoiku/2004938	宇城市 宇城市の奨学金制度
kumamoto-official-003-004-2026	200	https://www.city.uki.kumamoto.jp/kosodate/gakkokyoiku/2012797	https://www.city.uki.kumamoto.jp/kosodate/gakkokyoiku/2012797	宇城市 就学援助制度
kumamoto-official-003-005-2026	200	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2012070	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2012070	宇城市 ひとり親家庭等医療費助成制度
kumamoto-official-003-006-2026	200	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2012087	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2012087	宇城市 ひとり親家庭高等職業訓練促進給付金等支給事業
kumamoto-official-003-007-2026	200	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2012100	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2012100	宇城市 ひとり親家庭自立支援教育訓練給付金事業
kumamoto-official-003-008-2026	200	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2166957	https://www.city.uki.kumamoto.jp/kosodate/shienseido/2166957	宇城市 施設等利用給付認定
kumamoto-official-003-009-2026	200	https://www.city.uki.kumamoto.jp/kosodate/hoikuen/nyushomoshikomi/2022499	https://www.city.uki.kumamoto.jp/kosodate/hoikuen/nyushomoshikomi/2022499	宇城市 幼児教育・保育の無償化
kumamoto-official-003-010-2026	200	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/sonota_sangyo/2302195	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/sonota_sangyo/2302195	宇城市 老朽危険空き家等除却推進事業補助金
kumamoto-official-003-011-2026	200	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/ringyo/2016122	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/ringyo/2016122	宇城市 針広混交林化促進事業による間伐費用補助
kumamoto-official-003-012-2026	200	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/ringyo/2023700	https://www.city.uki.kumamoto.jp/jigyosha/sangyo/ringyo/2023700	宇城市 農林漁業者向け金融支援制度
kumamoto-official-003-013-2026	200	https://www.city.aso.kumamoto.jp/2025/05/22/%e5%85%90%e7%ab%a5%e6%89%b6%e9%a4%8a%e6%89%8b%e5%bd%93%e3%81%ae%e5%86%85%e5%ae%b9%e3%82%92%e5%a4%89%e6%9b%b4%e3%81%97%e3%81%be%e3%81%97%e3%81%9f/	https://www.city.aso.kumamoto.jp/2025/05/22/%e5%85%90%e7%ab%a5%e6%89%b6%e9%a4%8a%e6%89%8b%e5%bd%93%e3%81%ae%e5%86%85%e5%ae%b9%e3%82%92%e5%a4%89%e6%9b%b4%e3%81%97%e3%81%be%e3%81%97%e3%81%9f/	阿蘇市 児童扶養手当
kumamoto-official-003-014-2026	200	https://www.city.aso.kumamoto.jp/2025/08/27/%e5%ae%9a%e9%a1%8d%e6%b8%9b%e7%a8%8e%e3%83%bb%e8%a3%9c%e8%b6%b3%e7%b5%a6%e4%bb%98%e9%87%91/	https://www.city.aso.kumamoto.jp/2025/08/27/%e5%ae%9a%e9%a1%8d%e6%b8%9b%e7%a8%8e%e3%83%bb%e8%a3%9c%e8%b6%b3%e7%b5%a6%e4%bb%98%e9%87%91/	阿蘇市 定額減税・補足給付金
kumamoto-official-003-015-2026	200	https://www.city.aso.kumamoto.jp/2022/11/24/%ef%bc%88%e4%bb%a4%e5%92%8c%ef%bc%95%e5%b9%b4%ef%bc%94%e6%9c%88%e5%88%a9%e7%94%a8%e5%88%86%e3%81%8b%e3%82%89%ef%bc%89%e6%94%be%e8%aa%b2%e5%be%8c%e5%85%90%e7%ab%a5%e3%82%af%e3%83%a9%e3%83%96%e5%88%a9/	https://www.city.aso.kumamoto.jp/2022/11/24/%ef%bc%88%e4%bb%a4%e5%92%8c%ef%bc%95%e5%b9%b4%ef%bc%94%e6%9c%88%e5%88%a9%e7%94%a8%e5%88%86%e3%81%8b%e3%82%89%ef%bc%89%e6%94%be%e8%aa%b2%e5%be%8c%e5%85%90%e7%ab%a5%e3%82%af%e3%83%a9%e3%83%96%e5%88%a9/	阿蘇市 放課後児童クラブ利用料減免事業
