municipality,score,strong,hasAmount,hasTarget,hasDeadline,title,url,snippet
"伊豆の国市","70","4","true","true","true","新エネルギー機器等導入事業費補助金","https://www.city.izunokuni.shizuoka.jp/kankyou/kurashi/hojo/sinenehojo.html","伊豆の国市／新エネルギー機器等導入事業費補助金 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &g"
"菊川市","52","4","false","true","true","申請書ダウンロード","https://www.city.kikugawa.shizuoka.jp/shinseisho_index.html","菊川市／申請書ダウンロード このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 申請書ダウンロード ここから本文です。 申請書ダウンロード 利用上のお願い 菊川市の申請書や届出書などの様式のうち、インターネットで提供できる書式が、365日"
"伊豆市","50","3","true","true","true","各課の情報・業務内容(お問合せ先一覧)","https://www.city.izu.shizuoka.jp/shiseijoho/2/1/kakuka.html","各課の情報・業務内容(お問合せ先一覧)／伊豆市 公式ポータルサイト 本文へ キーワード から検索できます ファイル種別 すべて HTML PDF ページID から検索できます くらし・ 手続き 子育て・教育 健康・ 医療・福祉 文化・ スポーツ しごと・産業 市政情報 キーワード から検索できます ファイル種別 すべて HTML PDF ページID から検索できます 背景色 文字サイズ 組織から探す ふりがな ルビをけす やさしい日本語 読み上げ Foreign Language Español Português"
"菊川市","50","3","true","true","true","募集情報","https://www.city.kikugawa.shizuoka.jp/bosyuu.html","菊川市／募集情報 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 募集情報 ここから本文です。 更新日：2014年11月1日 募集情報 半済産業用地売却に係る公募型プロポーザルの実施について（2026年7月6日） 補助事業（2026年"
"牧之原市","50","3","true","true","true","令和７年牧之原市台風15号に伴う竜巻等災害関連情報","https://www.city.makinohara.shizuoka.jp/soshiki/7/58701.html","令和７年牧之原市台風15号に伴う竜巻等災害関連情報 - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設"
"牧之原市","50","3","true","true","true","介護・福祉","https://www.city.makinohara.shizuoka.jp/life/2/13/","介護・福祉 - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情報を発信し"
"牧之原市","50","3","true","true","true","組織案内","https://www.city.makinohara.shizuoka.jp/soshiki/2/1815.html","組織案内 - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情報を発信して"
"伊豆の国市","46","4","false","true","false","妊娠・出産","https://www.city.izunokuni.shizuoka.jp/kenkou/scene/ninshin/index.html","伊豆の国市／妊娠・出産 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; 健康・福祉 &gt"
"菊川市","46","4","false","true","false","","https://www.city.kikugawa.shizuoka.jp/kosodate/kikusuku/index.html","菊川市／菊川ですくすく子育て応援サイト きくすく このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 菊川ですくすく子育て応援サイト きくすく ここから本文です。 自分からひかる 人のためにひかる みんなとひかる(堀小ニュース) 新聞に掲"
"伊豆の国市","42","3","false","true","true","お知らせ","https://www.city.izunokuni.shizuoka.jp/oshirase/index.html","伊豆の国市／お知らせ このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; お知らせ ここから本"
