# kagoshima-official-coverage-001 URL status
checkedAt	2026-07-18T04:12:11.310Z
ok	73/73
slug	status	url	title
kagoshima-official-001-001-2026	200	https://www.pref.kagoshima.jp/ab07/kurashi-kankyo/zei/info/zei.html	鹿児島県 災害を受けられた方に対する県税の軽減措置など
kagoshima-official-001-002-2026	200	https://www.pref.kagoshima.jp/ab07/kurashi-kankyo/zei/info/genmenmenjyo.html	鹿児島県 身体障害者手帳等以外の自動車税の減免・免除
kagoshima-official-001-003-2026	200	https://www.pref.kagoshima.jp/ab07/kurashi-kankyo/zei/info/genmen4.html	鹿児島県 身体障害者等に対する自動車税の減免
kagoshima-official-001-004-2026	200	https://www.pref.kagoshima.jp/af05/sangyo-rodo/rinsui/zyosei/suisangyo/07001002_40470.html	鹿児島県 水産業に関する融資制度
kagoshima-official-001-005-2026	200	https://www.pref.kagoshima.jp/ac06/kaimono-shien.html	鹿児島県 買物弱者対策に取り組む市町村への支援
kagoshima-official-001-006-2026	200	https://www.pref.kagoshima.jp/af22/sangyo-rodo/2026_dx_hojokin.html	鹿児島県 令和8年度かごしま中小企業DX推進事業費補助金
kagoshima-official-001-007-2026	200	https://www.city.kagoshima.lg.jp/koyosuishin/sangyo/koyo/kohoshi/ijushienkin.html	鹿児島市 移住・就業等支援事業（移住支援金制度）
kagoshima-official-001-008-2026	200	https://www.city.kagoshima.lg.jp/kurashi/zekin/shize/kojinjuminzeitetuduki.html	鹿児島市 個人住民税（市民税・県民税）の手続き・減免
kagoshima-official-001-009-2026	200	https://www.city.kagoshima.lg.jp/kenkofukushi/chouju/iryo/kurashi/hoken/hoken/kore/genmen.html	鹿児島市 後期高齢者医療保険料の減免と一部負担金の減免
kagoshima-official-001-010-2026	200	https://www.city.kagoshima.lg.jp/soumu/zeimu/shiminzei/kurashi/zekin/shize/genmen.html	鹿児島市 市税の減免
kagoshima-official-001-011-2026	200	https://www.city.kagoshima.lg.jp/kosodate/kodomofuku/kosodate/kosodate/teate/shimin.html	鹿児島市 市民福祉手当（遺児等修学手当）
kagoshima-official-001-012-2026	200	https://www.city.kagoshima.lg.jp/kosodate/kodomofuku/kosodate/kosodate/teate/jido.html	鹿児島市 児童手当
kagoshima-official-001-013-2026	200	https://www.city.kagoshima.lg.jp/kosodate/kodomofuku/kosodate/kosodate/teate/fuyo.html	鹿児島市 児童扶養手当
kagoshima-official-001-014-2026	200	https://www.city.kagoshima.lg.jp/kosodate/boshihoken/kosodate/ninshin/teate/jiritsu/index.html	鹿児島市 自立支援医療（育成医療）
kagoshima-official-001-015-2026	200	https://www.city.kagoshima.lg.jp/kosodate/boshihoken/kosodate/ninshin/teate/shoni/index.html	鹿児島市 小児慢性特定疾病医療費助成事業
kagoshima-official-001-016-2026	200	https://www.city.kagoshima.lg.jp/kosodate/boshihoken/kosodate/ninshin/teate/shoni/seikatuyogu.html	鹿児島市 小児慢性特定疾病児日常生活用具給付事業
kagoshima-official-001-017-2026	200	https://www.city.kagoshima.lg.jp/san-shien/sangyo/shokogyo/sezogyonado/meidoin2019.html	鹿児島市 中小企業者（製造業者）等への一部助成「メイドインかごしま」支援事業
