"municipality","score","status","title","url","snippet"
"阿久比町","255","200","ポーツ 事業者向け 町政情報 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 閉じる やさしい日本語 ふりがな 閉じる","https://www.town.agui.lg.jp/0000000266.html","阿久比町在宅障害者手当月額を改定しました | 阿久比町 共通メニューなどをスキップして本文へ ホーム Language English 한국 中文繁體 中文简体 Portugues close 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 音声読み上げ 閉じる やさしい日本語 Language English 한국 中文繁體 中文简体 Portugues close ふりがな 検索 文字サイズ"
"阿久比町","220","200","ポーツ 事業者向け 町政情報 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 閉じる やさしい日本語 ふりがな 閉じる","https://www.town.agui.lg.jp/0000000285.html","愛知県在宅重度障害者手当 | 阿久比町 共通メニューなどをスキップして本文へ ホーム Language English 한국 中文繁體 中文简体 Portugues close 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 音声読み上げ 閉じる やさしい日本語 Language English 한국 中文繁體 中文简体 Portugues close ふりがな 検索 文字サイズ変更機能を利用す"
"阿久比町","220","200","ポーツ 事業者向け 町政情報 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 閉じる やさしい日本語 ふりがな 閉じる","https://www.town.agui.lg.jp/0000000290.html","特別障害者手当 | 阿久比町 共通メニューなどをスキップして本文へ ホーム Language English 한국 中文繁體 中文简体 Portugues close 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 音声読み上げ 閉じる やさしい日本語 Language English 한국 中文繁體 中文简体 Portugues close ふりがな 検索 文字サイズ変更機能を利用するにはJa"
"阿久比町","220","200","ポーツ 事業者向け 町政情報 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 閉じる やさしい日本語 ふりがな 閉じる","https://www.town.agui.lg.jp/0000000302.html","障害児福祉手当 | 阿久比町 共通メニューなどをスキップして本文へ ホーム Language English 한국 中文繁體 中文简体 Portugues close 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 音声読み上げ 閉じる やさしい日本語 Language English 한국 中文繁體 中文简体 Portugues close ふりがな 検索 文字サイズ変更機能を利用するにはJa"
"阿久比町","220","200","ポーツ 事業者向け 町政情報 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 閉じる やさしい日本語 ふりがな 閉じる","https://www.town.agui.lg.jp/0000002798.html","特別児童扶養手当 | 阿久比町 共通メニューなどをスキップして本文へ ホーム Language English 한국 中文繁體 中文简体 Portugues close 町政へのご意見 阿久比町について 閲覧支援 色の反転 標準 反転 文字サイズ 標準 拡大 音声読み上げ 閉じる やさしい日本語 Language English 한국 中文繁體 中文简体 Portugues close ふりがな 検索 文字サイズ変更機能を利用するにはJ"
"東浦町","220","200","地方創生臨時交付金」（内閣府ホームページ）（外部リンク） 重要なお知らせ このサイトについて 個人情報の取り扱い 著作権 リンクについて ウェブアクセシビリティ","https://www.town.aichi-higashiura.lg.jp/juyo/bukkakyuufujoseihojo_1/index.html","物価高騰関連支援制度 給付金・助成金・補助金／東浦町 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 ふりがな Foreign Language サイトマップ 課名で探す 暮らし・手続き 子育て・教育 健康・医療 ・福祉 観光・文化・ スポーツ 事業者 向け 行政情報 防災・安全 課名で探す ホーム 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 行政情報 防災・安全 文字サイズ 背景色変更 F"
"東浦町","220","200","・文化・スポーツ 東浦町文化芸術イベント開催支援補助金を活用したイベントのお知らせ 東浦町文化芸術イベント開催支援補助金を活用したイベントのお知らせ Tweet","https://www.town.aichi-higashiura.lg.jp/kanko_bunka/16187.html","東浦町文化芸術イベント開催支援補助金を活用したイベントのお知らせ／東浦町 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 ふりがな Foreign Language サイトマップ 課名で探す 暮らし・手続き 子育て・教育 健康・医療 ・福祉 観光・文化・ スポーツ 事業者 向け 行政情報 防災・安全 課名で探す ホーム 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 行政情報 防災・安全 文字サ"
"東浦町","220","200","ページ ホーム よくあるご質問 河川・水路・公園 浄化槽を雨水貯留タンクに利用するときの補助金制度 浄化槽を雨水貯留タンクに利用するときの補助金制度 Tweet","https://www.town.aichi-higashiura.lg.jp/faq/kasen_suiro/1454930959835.html","浄化槽を雨水貯留タンクに利用するときの補助金制度／東浦町 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 ふりがな Foreign Language サイトマップ 課名で探す 暮らし・手続き 子育て・教育 健康・医療 ・福祉 観光・文化・ スポーツ 事業者 向け 行政情報 防災・安全 課名で探す ホーム 暮らし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 行政情報 防災・安全 文字サイズ 背景色変更"
"南知多町","220","200","元気な愛知の市町村づくり補助金 ページ番号1002577 更新日 2026年2月25日","https://www.town.minamichita.lg.jp/gyosei/zaiseikansa/1001710/1002577.html","元気な愛知の市町村づくり補助金｜南知多町公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Foreign Language 文字サイズ・配色の変更 くらし 健康・福祉 子育て "
"南知多町","220","200","後期高齢者福祉医療費助成 ページ番号1001199 更新日 2026年5月18日","https://www.town.minamichita.lg.jp/kenkofukushi/koureisya/1001199.html","後期高齢者福祉医療費助成｜南知多町公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Foreign Language 文字サイズ・配色の変更 くらし 健康・福祉 子育て 観光・"
