municipality,code,score,status,title,url,snippet
"岩倉市","23228","60","200","ブロック塀等撤去補助金 [2022年4月1日]","https://www.city.iwakura.aichi.jp/0000000080.html","ブロック塀等撤去補助金 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有"
"岩倉市","23228","60","200","生活保護と福祉援助 [2026年6月1日] 生活保護／生活自立支援相談室／住居確保給付金","https://www.city.iwakura.aichi.jp/0000000110.html","生活保護と福祉援助 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効に"
"岩倉市","23228","60","200","住宅用地球温暖化対策設備設置費補助金","https://www.city.iwakura.aichi.jp/0000000202.html","住宅用地球温暖化対策設備設置費補助金 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブス"
"岩倉市","23228","60","200","木造住宅無料耐震診断と住宅耐震改修等補助金及び空き家除却補助金 [2022年4月1日]","https://www.city.iwakura.aichi.jp/0000000209.html","木造住宅無料耐震診断と住宅耐震改修等補助金及び空き家除却補助金 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJava"
"岩倉市","23228","60","200","人間ドック助成事業","https://www.city.iwakura.aichi.jp/0000000243.html","人間ドック助成事業 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効に"
"岩倉市","23228","60","200","緑化推進事業補助金 [2022年4月1日]","https://www.city.iwakura.aichi.jp/0000000361.html","緑化推進事業補助金 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効に"
"岩倉市","23228","60","200","国民健康保険税の減免","https://www.city.iwakura.aichi.jp/0000001982.html","国民健康保険税の減免 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効"
"岩倉市","23228","60","200","創業支援事業","https://www.city.iwakura.aichi.jp/0000002022.html","創業支援事業 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効にしてく"
"岩倉市","23228","60","200","出産育児一時金","https://www.city.iwakura.aichi.jp/0000002025.html","出産育児一時金 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効にして"
"岩倉市","23228","60","200","後期高齢者医療保険料","https://www.city.iwakura.aichi.jp/0000002038.html","後期高齢者医療保険料 | 岩倉市 共通メニューなどをスキップして本文へ 岩倉市トップに戻る ふりがな やさしい日本語 文字サイズ変更 標準 拡大 色の反転 標準 反転 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には，ご利用のブラウザの表示メニューから文字サイズを変更してください。文字サイズ変更以外にも，操作性向上の目的でJavaScript（アクティブスクリプト）を用いた機能を提供しています。可能であればJavaScript（アクティブスクリプト）を有効"
