score	organization	title	url	evidence
30	姶良市	合併処理浄化槽設置補助金	https://www.city.aira.lg.jp/seikatsu/kurashi/seikatsu/joukasou.html	姶良市／合併処理浄化槽設置補助金 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 環境・動物 > 合併処理浄化槽設置補助金 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 環境・動物 微小粒子状物質（PM2.5）に関する情報 不法投棄 令和８年度春期狂
30	姶良市	奨学金・貸付	https://www.city.aira.lg.jp/kyokanri/kurashi/kyoiku/shogakukin.html	姶良市／奨学金・貸付 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 教育 > 奨学金・貸付 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 教育 小・中学校の紹介 公表 青少年育成 学校教育 教育振興基本計画 学校給食費および幼稚園給食費のお知らせ
30	姶良市	定額減税補足給付金（不足額給付）※受付は終了しました	https://www.city.aira.lg.jp/fukushi/kurashi/fukushi/fusokugakukyufu.html	姶良市／※【受付終了】定額減税補足給付金（不足額給付）について 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 福祉 > ※【受付終了】定額減税補足給付金（不足額給付）について こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 福祉 障害者 高齢者 社会
30	姶良市	姶良市中小企業者空き店舗等家賃補助金	https://www.city.aira.lg.jp/kigyo/sangyo/sangyo/akitenpo.html	姶良市／姶良市中小企業者空き店舗等家賃補助金 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > 産業・企業向け > 起業・経営支援 > 姶良市中小企業者空き店舗等家賃補助金 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 起業・経営支援 中小企業等経営強化法に基づく「先端設
30	姶良市	固定資産税の減免申請	https://www.city.aira.lg.jp/koteizei/kurashi/zeikin/koteshisanzei/genmen.html	姶良市／固定資産税の減免申請 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 固定資産税・都市計画税・償却資産 > 固定資産税の減免申請 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 固定資産税・都市計画税・償却資産 固定資産税の証明書につ
30	姶良市	国民健康保険税の減免	https://www.city.aira.lg.jp/shiminzei/kurashi/hoken/kokuho/kokuhozei/kokuhogennmenn.html	姶良市／国民健康保険税の減免 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 国民健康保険税 > 国民健康保険税の減免 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 国民健康保険税 国民健康保険税の概要 国民健康保険税の軽減制度 国民健康保
30	姶良市	災害により被害を受けた方の国民健康保険税の減免について	https://www.city.aira.lg.jp/shiminzei/kurashi/hoken/kokuho/saigaigenmen.html	姶良市／災害により被害を受けた方の国民健康保険税の減免について 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 国民健康保険税 > 災害により被害を受けた方の国民健康保険税の減免について こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 国民健
30	姶良市	軽自動車税の減免	https://www.city.aira.lg.jp/shiminzei/kurashi/zeikin/keiji_genmen.html	姶良市／軽自動車税の減免 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 軽自動車税 > 軽自動車税の減免 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 軽自動車税 特定小型原動機付自転車等・原動機付自転車・小型特殊自動車の各種手続き方法
30	姶良市	法人市民税の減免申請をするとき	https://www.city.aira.lg.jp/shiminzei/kurashi/shinseisyo/houjingenmen.html	姶良市／法人市民税の減免申請をするとき 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 申請書ダウンロード > 税金 > 法人市民税 > 法人市民税の減免申請をするとき こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 法人市民税 法人市民税の減免申請を
30	姶良市	妊婦のための支援給付（国の妊婦支援給付金）	https://www.city.aira.lg.jp/kenko/kurashi/ikuji/boshihoken/syussan-kosodate-ouengift.html	姶良市／妊婦のための支援給付（国の妊婦支援給付金） 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 育児 > 母子保健 > 妊婦のための支援給付（国の妊婦支援給付金） こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 母子保健 乳幼児健診について 母子に
