slug	organization	status	url	note
okinawa-official-002-001-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/hoikuen/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-002-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/hoikuen/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-003-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/teate/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-004-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/ninshin/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-005-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/ninshin/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-006-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/ninshin/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-007-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/ninshin/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-008-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/teate/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-009-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/teate/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-010-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/support/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-011-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/support/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-012-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/support/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-013-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kosodate/support/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-014-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kourei/shougaishahukushi/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-015-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kyoiku/shien/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-016-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/kyoiku/shien/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-017-2026	名護市	200	https://www.city.nago.okinawa.jp/articles/2026071600039/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-018-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/sangyou/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-019-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/sangyou/sangyou/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-020-2026	名護市	200	https://www.city.nago.okinawa.jp/category/guide/sangyou/sangyou/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-021-2026	糸満市	200	https://www.city.itoman.lg.jp/life/sub/3/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-022-2026	糸満市	200	https://www.city.itoman.lg.jp/life/4/12/65/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-023-2026	糸満市	200	https://www.city.itoman.lg.jp/life/4/14/77/	local-refetch-403-fallback-evidence-retained
okinawa-official-002-024-2026	糸満市	200	https://www.city.itoman.lg.jp/life/4/12/66/	local-refetch-403-fallback-evidence-retained
