organization	title	url	status	score	evidence
みやき町	マイナンバーカードをつくろう	https://www.town.miyaki.lg.jp/kurashi/my_number2/_5329.html	200	38	みやき町 マイナンバーカードをつくろう ホーム > くらし・手続き > マイナンバーカード >マイナンバーカードをつくろう メニュー マイナンバー制度について マイナンバーカードの利用 マイナンバーカードをつくろう マイナンバーカード日曜日臨時窓口 マイナンバーカードをつくろう マイナンバーカードの交付申請方法 マイナンバーカード申請・交付に必要なもの マイナンバーカードの申請・交付に必要な本人確認書類 本人確認書類 ・・・[(1)から1点] または [(2)から2点] のいずれか (1) 運転免許証・運転経歴証明
みやき町	個人町民税	https://www.town.miyaki.lg.jp/kurashi/chozei/_1293.html	200	38	みやき町 個人町民税 ホーム > くらし・手続き > 町税 >個人町民税 メニュー 各種様式（町税関係） 個人町民税 法人町民税 国民健康保険税 軽自動車税 固定資産税 納税の方法 町税の納期 町税の電子申告 郵送による証明書等の請求 オリジナルTVアニメ「ゾンビランドサガ」オリジナルデザイン 原付バイク用ナンバープレート！ 固定資産税の納期変更について 納税管理人について 納税通知書の送付先を変更したいときの手続き 公示送達について 関連リンク 個人町民税 個人町民税は、前年中の収入状況等に応じて負担していただく
みやき町	国民健康保険税	https://www.town.miyaki.lg.jp/kurashi/chozei/_1318.html	200	38	みやき町 国民健康保険税 ホーム > くらし・手続き > 町税 >国民健康保険税 メニュー 各種様式（町税関係） 個人町民税 法人町民税 国民健康保険税 軽自動車税 固定資産税 納税の方法 町税の納期 町税の電子申告 郵送による証明書等の請求 オリジナルTVアニメ「ゾンビランドサガ」オリジナルデザイン 原付バイク用ナンバープレート！ 固定資産税の納期変更について 納税管理人について 納税通知書の送付先を変更したいときの手続き 公示送達について 関連リンク 国民健康保険税 国民健康保険税（以下「国保税」という。）は、
みやき町	母子福祉	https://www.town.miyaki.lg.jp/kenko/jidofukushi/_1052.html	200	38	みやき町 母子福祉 ホーム > 健康・福祉 > 児童・母子福祉 >母子福祉 メニュー 児童福祉 母子福祉 母子福祉 母子父子寡婦福祉資金貸付 ひとり親家庭や寡婦の方の生活安定と児童福祉を推進するために、無利子または低金利で資金の貸付を行っています。 貸付を受けられる方 母子家庭の母 ・・・20歳未満の児童を扶養している方 父子家庭の父 ・・・20歳未満の児童を扶養している方 ※平成26年10月からは父子家庭の父も対象となりました。 寡婦 ・・・かつて母子家庭の母として児童を扶養していたことのある方 40歳以上の配偶
みやき町	児童福祉	https://www.town.miyaki.lg.jp/kenko/jidofukushi/_1051.html	200	38	みやき町 児童福祉 ホーム > 健康・福祉 > 児童・母子福祉 >児童福祉 メニュー 児童福祉 母子福祉 児童福祉 児童手当 このたび、「子ども・子育て支援法等の一部を改正する法律」により、令和6年10月分（12月支給分）の児童手当から、制度内容が下記の通り変更となりした。 変更内容 (1) 支給対象児童の年齢を「15歳到達後の最初の年度末まで」から「18歳到達後の最初の年度末まで」に延長。 (2) 所得制限、所得上限を撤廃。 (3) 第3子以降の手当額を月1万5千円から月3万円に増額。 (4) 第3子の算定に含め
みやき町	特別児童扶養手当	https://www.town.miyaki.lg.jp/kenko/shogaishafukushi/_1966.html	200	38	みやき町 特別児童扶養手当 ホーム > 健康・福祉 > 障がい者福祉 >特別児童扶養手当 メニュー 障害者手帳について 佐賀県パーキングパーミット制度について ヘルプマークについて 障害福祉サービスについて 地域生活支援事業について 障がいがある方の相談窓口 重度心身障害者医療費助成について 自立支援医療について 補装具の交付・修理について 手当・共済制度について 障がい者虐待防止法について 特別児童扶養手当 難聴児に対する補聴器購入費の助成について 福祉タクシー利用助成券の交付について 障がいがある方のその他の割
みやき町	重度心身障害者医療費助成について	https://www.town.miyaki.lg.jp/kenko/shogaishafukushi/_1178.html	200	38	みやき町 重度心身障害者医療費助成について ホーム > 健康・福祉 > 障がい者福祉 >重度心身障害者医療費助成について メニュー 障害者手帳について 佐賀県パーキングパーミット制度について ヘルプマークについて 障害福祉サービスについて 地域生活支援事業について 障がいがある方の相談窓口 重度心身障害者医療費助成について 自立支援医療について 補装具の交付・修理について 手当・共済制度について 障がい者虐待防止法について 特別児童扶養手当 難聴児に対する補聴器購入費の助成について 福祉タクシー利用助成券の交付につ
みやき町	手当・共済制度について	https://www.town.miyaki.lg.jp/kenko/shogaishafukushi/_1180.html	200	38	みやき町 手当・共済制度について ホーム > 健康・福祉 > 障がい者福祉 >手当・共済制度について メニュー 障害者手帳について 佐賀県パーキングパーミット制度について ヘルプマークについて 障害福祉サービスについて 地域生活支援事業について 障がいがある方の相談窓口 重度心身障害者医療費助成について 自立支援医療について 補装具の交付・修理について 手当・共済制度について 障がい者虐待防止法について 特別児童扶養手当 難聴児に対する補聴器購入費の助成について 福祉タクシー利用助成券の交付について 障がいがある方
みやき町	流産・死産を経験された方へ	https://www.town.miyaki.lg.jp/kosodate/ninshin/_5233.html	200	38	みやき町 流産・死産を経験された方へ ホーム > 子育て・教育 > 妊娠・出産 >流産・死産を経験された方へ メニュー 母子健康手帳の発行について 出生祝金 みやき町産前・産後サポートステーション 流産・死産を経験された方へ チャイルドシート 出産・子育て応援事業 妊婦等包括相談支援事業・妊婦支援給付について 産後ケア（産科医療機関） 流産・死産を経験された方へ おなかの中で大切に育ててきたお子さまを、流産や死産などで亡くされた方の悲しみは計り知れません。 つらい、悲しい気持ちを抱えたまま、誰にも話すことができない
みやき町	子どもの医療費助成	https://www.town.miyaki.lg.jp/kosodate/kenko/_1036.html	200	38	みやき町 子どもの医療費助成 ホーム > 子育て・教育 > 子どもの健康・医療 >子どもの医療費助成 メニュー 親子すこやか健康相談 子どもの医療費助成 乳幼児健診等 乳幼児予防接種 久留米広域小児科夜間救急診療 子どもの医療費助成 医療費助成制度 子どもの医療費助成制度の概要 名称 対象者（助成方式） 助成内容（自己負担額） 子どもの医療費助成 就学前 （県内・ 県外指定医療機関 ：現物給付） （上記以外の医療機関：償還払い） 就学後から18歳に到達する年度末まで （県内・ 県外一部指定医療機関 ：現物給付） （
