organization	score	title	url	evidence
長崎市	62	給付	https://www.city.nagasaki.lg.jp/life/2/19/73/	給付 - 長崎市ウェブサイト ページの先頭です。 メニューを飛ばして本文へ 閲覧補助 閉じる よくある 質問 ＜外部リンク＞ いざと いうとき 閉じる 本文へ Foreign languages 探し方がわからないときは 音声読み上げ とじる やさしい日本語 もとに戻す 文字サイズ 標準 拡大 背景色 白 黒 青 閉じる 閉じる 防災情報 休日当番医 災害・
長崎市	61	職場環境改善事業費補助金（令和8年物価高騰対策関連）	https://www.city.nagasaki.lg.jp/page/76421.html	職場環境改善事業費補助金（令和8年物価高騰対策関連） - 長崎市ウェブサイト（新産業推進課） ページの先頭です。 メニューを飛ばして本文へ 閲覧補助 閉じる よくある 質問 ＜外部リンク＞ いざと いうとき 閉じる 本文へ Foreign languages 探し方がわからないときは 音声読み上げ とじる やさしい日本語 もとに戻す 文字サイズ 標準 拡大
長崎市	57	下水道普及促進助成	https://www.city.nagasaki.lg.jp/life/1/7/34/	下水道普及促進助成 - 長崎市ウェブサイト ページの先頭です。 メニューを飛ばして本文へ 閲覧補助 閉じる よくある 質問 ＜外部リンク＞ いざと いうとき 閉じる 本文へ Foreign languages 探し方がわからないときは 音声読み上げ とじる やさしい日本語 もとに戻す 文字サイズ 標準 拡大 背景色 白 黒 青 閉じる 閉じる 防災情報 休日
長崎市	57	補助・助成	https://www.city.nagasaki.lg.jp/life/2/22/90/	補助・助成 - 長崎市ウェブサイト ページの先頭です。 メニューを飛ばして本文へ 閲覧補助 閉じる よくある 質問 ＜外部リンク＞ いざと いうとき 閉じる 本文へ Foreign languages 探し方がわからないときは 音声読み上げ とじる やさしい日本語 もとに戻す 文字サイズ 標準 拡大 背景色 白 黒 青 閉じる 閉じる 防災情報 休日当番医
長崎市	57	補助金・啓発活動	https://www.city.nagasaki.lg.jp/life/1/11/47/	補助金・啓発活動 - 長崎市ウェブサイト ページの先頭です。 メニューを飛ばして本文へ 閲覧補助 閉じる よくある 質問 ＜外部リンク＞ いざと いうとき 閉じる 本文へ Foreign languages 探し方がわからないときは 音声読み上げ とじる やさしい日本語 もとに戻す 文字サイズ 標準 拡大 背景色 白 黒 青 閉じる 閉じる 防災情報 休日当
長崎市	56	長崎市快適住まいづくり支援費補助金	https://www.city.nagasaki.lg.jp/page/1816.html	長崎市快適住まいづくり支援費補助金 - 長崎市ウェブサイト（住宅政策室） ページの先頭です。 メニューを飛ばして本文へ 閲覧補助 閉じる よくある 質問 ＜外部リンク＞ いざと いうとき 閉じる 本文へ Foreign languages 探し方がわからないときは 音声読み上げ とじる やさしい日本語 もとに戻す 文字サイズ 標準 拡大 背景色 白 黒 青
長崎市	56	長崎市子育て住まいづくり支援費補助金	https://www.city.nagasaki.lg.jp/page/5259.html	長崎市子育て住まいづくり支援費補助金 - 長崎市ウェブサイト（住宅政策室） ページの先頭です。 メニューを飛ばして本文へ 閲覧補助 閉じる よくある 質問 ＜外部リンク＞ いざと いうとき 閉じる 本文へ Foreign languages 探し方がわからないときは 音声読み上げ とじる やさしい日本語 もとに戻す 文字サイズ 標準 拡大 背景色 白 黒 青
佐世保市	82	同時在園における第2子以降（1・2歳児）の保育料無償化開始（令和6年4月から開始）	https://www.city.sasebo.lg.jp/kodomomirai/kodosei/m-magazine/dai2shihoikuryoumusyou.html	同時在園における第2子以降（1・2歳児）の保育料無償化開始（令和6年4月から開始）｜佐世保市 本文へスキップします。 佐世保市 緊急情報 救急・防災 救急・防災 防災情報 防災行政無線 佐世保市防災ポータル 休日・夜間の救急 急病診療所の診療案内 医療介護機関検索 閉じる 閲覧支援 閲覧支援 文字サイズ・色合い変更 ふりがな表示 音声読み上げ Foreign
佐世保市	82	離島地域安心出産支援事業（令和8年度拡充）	https://www.city.sasebo.lg.jp/kodomomirai/sukosen/documents/ritouannzenn.html	離島地域安心出産支援事業（令和8年度拡充）｜佐世保市 本文へスキップします。 佐世保市 緊急情報 救急・防災 救急・防災 防災情報 防災行政無線 佐世保市防災ポータル 休日・夜間の救急 急病診療所の診療案内 医療介護機関検索 閉じる 閲覧支援 閲覧支援 文字サイズ・色合い変更 ふりがな表示 音声読み上げ Foreign Language 閉じる 検索・くらし
佐世保市	82	令和7年10月診療分から福祉医療費(高校生等)の助成方法が変わります。	https://www.city.sasebo.lg.jp/kodomomirai/kodoshie/reiwa7nenn10gatu_hukushiiryouhijoseihouhouhennkou.html	令和7年10月診療分から福祉医療費(高校生等)の助成方法が変わります。｜佐世保市 本文へスキップします。 佐世保市 緊急情報 救急・防災 救急・防災 防災情報 防災行政無線 佐世保市防災ポータル 休日・夜間の救急 急病診療所の診療案内 医療介護機関検索 閉じる 閲覧支援 閲覧支援 文字サイズ・色合い変更 ふりがな表示 音声読み上げ Foreign Langu
