status	finalUrl	sourceUrl	title
200	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/iryohijosei/2765.html	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/iryohijosei/2765.html	新富町 障害者手帳を持たない高齢者の障害者控除
200	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/fukushi/1/1785.html	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/fukushi/1/1785.html	新富町 高齢者の生活支援
200	https://www.town.shintomi.lg.jp/kosodate_kyoiku/teate/1895.html	https://www.town.shintomi.lg.jp/kosodate_kyoiku/teate/1895.html	新富町 奨学金
200	https://www.town.shintomi.lg.jp/chosei/gyoseiunei/4/2180.html	https://www.town.shintomi.lg.jp/chosei/gyoseiunei/4/2180.html	新富町 まちづくり支援事業
200	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/fukushi/3/1792.html	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/fukushi/3/1792.html	新富町 障害福祉
200	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/kokuminnenkin/3094.html	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/kokuminnenkin/3094.html	新富町 令和8年（2026年）10月から国民年金保険料の育児免除制度が始まります!
200	https://www.town.shintomi.lg.jp/chosei/nyutabarukichi/2080.html	https://www.town.shintomi.lg.jp/chosei/nyutabarukichi/2080.html	新富町 基地関連補助金制度
200	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/fukushi/3/1794.html	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/fukushi/3/1794.html	新富町 障害者向け支援制度
200	https://www.town.shintomi.lg.jp/kurashi/juminkatsudo/1865.html	https://www.town.shintomi.lg.jp/kurashi/juminkatsudo/1865.html	新富町 コミュニティ助成事業
200	https://www.town.shintomi.lg.jp/kosodate_kyoiku/kosodatejoho/1726.html	https://www.town.shintomi.lg.jp/kosodate_kyoiku/kosodatejoho/1726.html	新富町 不妊治療
200	https://www.town.kijo.lg.jp/bosyu/2948.html	https://www.town.kijo.lg.jp/bosyu/2948.html	木城町 事業承継に要する費用の一部を補助します！
200	https://www.town.kijo.lg.jp/bosyu/2383.html	https://www.town.kijo.lg.jp/bosyu/2383.html	木城町 木城町介護職員等人材確保・育成推進事業
200	https://www.town.kijo.lg.jp/gyouseizyouhou/heiwa_zinken/2390.html	https://www.town.kijo.lg.jp/gyouseizyouhou/heiwa_zinken/2390.html	木城町 犯罪被害者支援
200	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1362.html	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1362.html	川南町 透析通院費の助成
200	https://www.town.kawaminami.miyazaki.jp/soshiki/6/1296.html	https://www.town.kawaminami.miyazaki.jp/soshiki/6/1296.html	川南町 妊婦健康診査の助成について
200	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10000477	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10000477	西米良村 西米良村浄化槽設置整備事業補助金について
200	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10001093	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10001093	西米良村 (1)耐震診断事業補助金交付要綱
200	https://www.town.kawaminami.miyazaki.jp/soshiki/2/1190.html	https://www.town.kawaminami.miyazaki.jp/soshiki/2/1190.html	川南町 子ども留学等支援補助金
200	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10000439	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10000439	西米良村 自動車税・自動車取得税の減免
200	https://www.town.kawaminami.miyazaki.jp/soshiki/3/1242.html	https://www.town.kawaminami.miyazaki.jp/soshiki/3/1242.html	川南町 国民健康保険税の軽減および減免制度について
200	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10004047	https://www.vill.nishimera.lg.jp/village/a-00-villagelife/10004047	西米良村 高齢者運転免許自主返納支援事業
200	https://www.town.kawaminami.miyazaki.jp/soshiki/1/10215.html	https://www.town.kawaminami.miyazaki.jp/soshiki/1/10215.html	川南町 防災士の資格取得に対する助成金制度について
