code,name,score,status,title,h1,priority,keywords,url
"01465","剣淵町","13","200","情報公開関係","情報公開関係","low","補助金|一時金|奨励金|貸付|減免|免除|住宅|空き家|起業|農業|福祉|子育て|就学","https://www.town.kembuchi.hokkaido.jp/download/"
"01465","剣淵町","13","200","絵本の里けんぶち町/人・夢・大地 やさしさ奏でる 絵本の里けんぶち - サイトマップ |","","low","補助金|奨励金|医療費助成|住宅|空き家|起業|農業|林業|福祉|子育て|耐震|予防接種|妊婦","https://www.town.kembuchi.hokkaido.jp/sitemap/"
"01465","剣淵町","10","200","制度の概要","制度の概要","low","補助金|奨励金|貸付|住宅|起業|事業者|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/industry/%e5%95%86%e5%b7%a5%e6%a5%ad/shoukou_shien/%e5%89%a3%e6%b7%b5%e7%94%ba%e4%b8%ad%e5%b0%8f%e4%bc%81%e6%a5%ad%e7%89%b9%e5%88%a5%e8%9e%8d%e8%b3%87%e5%88%b6%e5%ba%a6/"
"01465","剣淵町","10","200","絵本の里","絵本の里","low","補助金|支援金|奨励金|移住|住宅|空き家|起業|農業|福祉|子育て|就学|予防接種","https://www.town.kembuchi.hokkaido.jp/kurashi/%e3%81%be%e3%81%a1%e3%81%a5%e3%81%8f%e3%82%8a/%e4%bd%8f%e3%81%be%e3%81%84%e3%81%ab%e9%96%a2%e3%81%99%e3%82%8b%e3%81%93%e3%81%a8/%e7%b5%b5%e6%9c%ac%e3%81%ae%e9%87%8c%e3%80%8c%e3%81%91%e3%82%93%e3%81%b6%e3%81%a1%e3%80%8d%e3%81%a7%e7%94%9f%e6%b4%bb%e3%81%97%e3%81%a6%e3%81%bf%e3%81%be%e3%81%9b%e3%82%93%e3%81%8b/"
"01465","剣淵町","7","200","絵本の里けんぶち町/人・夢・大地 やさしさ奏でる 絵本の里けんぶち - 各種支援 |","","low","補助金|奨励金|住宅|起業|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/industry/%e5%95%86%e5%b7%a5%e6%a5%ad/shoukou_shien/"
"01465","剣淵町","4","200","絵本の里けんぶち町/人・夢・大地 やさしさ奏でる 絵本の里けんぶち -","","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/"
"01465","剣淵町","4","200","申請は原則不要です！","申請は原則不要です！","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e7%89%a9%e4%be%a1%e9%ab%98%e5%af%be%e5%bf%9c%e5%ad%90%e8%82%b2%e3%81%a6%e5%bf%9c%e6%8f%b4%e6%89%8b%e5%bd%93%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/"
"01465","剣淵町","4","200","絵本の里けんぶち町/人・夢・大地 やさしさ奏でる 絵本の里けんぶち - 絵本の里づくり |","","low","助成金|住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/about-kembuchi/%e7%b5%b5%e6%9c%ac%e3%81%ae%e9%87%8c%e3%81%a5%e3%81%8f%e3%82%8a/"
"01465","剣淵町","4","200","事業の概要・目的","事業の概要・目的","low","補助金|住宅|事業者|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/industry/%e5%95%86%e5%b7%a5%e6%a5%ad/shoukou_shien/%e5%89%a3%e6%b7%b5%e7%94%ba%e6%96%b0%e5%95%86%e5%93%81%e9%96%8b%e7%99%ba%e3%83%bb%e8%b2%a9%e8%b7%af%e9%96%8b%e6%8b%93%e6%94%af%e6%8f%b4%e4%ba%8b%e6%a5%ad%e8%a3%9c%e5%8a%a9%e9%87%91/"
"01465","剣淵町","4","200","１．事業の概要・目的","１．事業の概要・目的","low","補助金|住宅|起業|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/industry/%e5%95%86%e5%b7%a5%e6%a5%ad/shoukou_shien/%e8%b5%b7%e6%a5%ad%e5%8c%96%e6%94%af%e6%8f%b4%e4%ba%8b%e6%a5%ad%e8%a3%9c%e5%8a%a9%e9%87%91/"
"01465","剣淵町","1","200","緑町北団地","緑町北団地","low","住宅|空き家|農業|福祉|子育て|就学","http://www.town.kembuchi.hokkaido.jp/kurashi/%e4%bd%8f%e5%ae%85%e3%83%bb%e4%b8%8a%e4%b8%8b%e6%b0%b4%e9%81%93/%e5%85%ac%e5%96%b6%e4%bd%8f%e5%ae%85/"
"01465","剣淵町","1","200","趣旨","趣旨","low","住宅|農業|福祉|子育て","http://www.town.kembuchi.hokkaido.jp/to_mayor/"
"01465","剣淵町","1","200","「親の責務等」に関するルールの明確化","「親の責務等」に関するルールの明確化","low","住宅|農業|福祉|子育て|予防接種","https://www.town.kembuchi.hokkaido.jp/__trashed-2/"
"01465","剣淵町","1","200","2012年バックナンバー","2012年バックナンバー","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e2%86%92%e3%80%802012%e5%b9%b4%e8%ad%b0%e4%bc%9a%e3%81%a0%e3%82%88%e3%82%8a/"
"01465","剣淵町","1","200","2013年バックナンバー","2013年バックナンバー","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e2%86%92%e3%80%802013%e5%b9%b4%e8%ad%b0%e4%bc%9a%e3%81%a0%e3%82%88%e3%82%8a/"
"01465","剣淵町","1","200","2014年バックナンバー","2014年バックナンバー","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e2%86%92%e3%80%802014%e5%b9%b4%e8%ad%b0%e4%bc%9a%e3%81%a0%e3%82%88%e3%82%8a/"
"01465","剣淵町","1","200","2015年バックナンバー","2015年バックナンバー","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e2%86%92%e3%80%802015%e5%b9%b4%e8%ad%b0%e4%bc%9a%e3%81%a0%e3%82%88%e3%82%8a/"
"01465","剣淵町","1","200","2016年バックナンバー","2016年バックナンバー","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e2%86%92%e3%80%802016%e5%b9%b4%e8%ad%b0%e4%bc%9a%e3%81%a0%e3%82%88%e3%82%8a/"
"01465","剣淵町","1","200","2017年バックナンバー","2017年バックナンバー","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e2%86%92%e3%80%802017%e5%b9%b4%e8%ad%b0%e4%bc%9a%e3%81%a0%e3%82%88%e3%82%8a/"
"01465","剣淵町","1","200","2018年バックナンバー","2018年バックナンバー","low","住宅|農業|福祉|子育て","https://www.town.kembuchi.hokkaido.jp/%e2%86%92%e3%80%802018%e5%b9%b4%e8%ad%b0%e4%bc%9a%e3%81%a0%e3%82%88%e3%82%8a/"
