slug	organization	status	url	note
okinawa-official-003-001-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/jidou/kodomo.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-002-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kokumin/kenkouhoken/2012-1228-1012-80.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-003-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/jidou/tokubetsujidou.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-004-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kokumin/nenkin/2021-0901-1000-54.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-005-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/kosodate/2019-0219-1104-69.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-006-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/kosodate/2021-0916-1509-306.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-007-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/soshiki/shityo/soumubu/bousaikikikannri/oshirase/2025-0314-0936-269.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-008-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/jidou/jidou.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-009-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/jidou/hukushishikin.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-010-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/kosodate/2024-0319-1350-323.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-011-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kenkou/syougaihukushi/2025-0606-1012-75.html	direct-fetch-or-candidate-evidence-retained
okinawa-official-003-012-2026	宮古島市	200	https://www.city.miyakojima.lg.jp/kurashi/kodomo/kosodate/2024-0322-1340-322.html	direct-fetch-or-candidate-evidence-retained
