municipality,score,title,url
川辺町,120,"国民健康保険税について &#8211; 川辺町ホームページ",https://www.kawabe-gifu.jp/?page_id=56799
川辺町,120,"家屋の固定資産税 &#8211; 川辺町ホームページ",https://www.kawabe-gifu.jp/?page_id=1428
七宗町,120,"令和７年度補正予算 重点支援地方交付金の活用状況について | 七宗町公式ウエブサイト ( official site)",https://www.hichiso.jp/fr7so/frkikaku/kikaku260424/
七宗町,120,"個人住民税の定額減税について | 七宗町公式ウエブサイト ( official site)",https://www.hichiso.jp/fr7so/frzeimu/zyumin240509b/
七宗町,120,"七宗町雇用創出に係る企業誘致の固定資産税の課税免除について | 七宗町公式ウエブサイト ( official site)",https://www.hichiso.jp/fpage/pzeimu/%e4%b8%83%e5%ae%97%e7%94%ba%e9%9b%87%e7%94%a8%e5%89%b5%e5%87%ba%e3%81%ab%e4%bf%82%e3%82%8b%e4%bc%81%e6%a5%ad%e8%aa%98%e8%87%b4%e3%81%ae%e5%9b%ba%e5%ae%9a%e8%b3%87%e7%94%a3%e7%a8%8e%e3%81%ae%e8%aa%b2/
白川町,120,"奨学金関係｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kosodate_kyouiku/1002456.html
白川町,120,"耐震シェルター設置補助金｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kurashi/kinkyu/1003325/1003320.html
白川町,120,"01_防犯灯整備補助金について｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kurashi/kinkyu/1002460/1002444.html
白川町,120,"白川町消防団員準中型自動車免許等取得費補助金｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kurashi/kinkyu/1001816/1002997.html
白川町,120,"令和7年度 物価高対応子育て応援手当｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kosodate_kyouiku/kosodate/1003222.html
白川町,120,"就学援助制度｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kosodate_kyouiku/gakkou/1001912/1001913.html
白川町,120,"移住定住促進住宅支援事業補助金｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kurashi/sumai/1001762/1001763.html
白川町,120,"空家除却等支援補助金｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kurashi/sumai/1001762/1001766.html
白川町,120,"住宅用太陽光発電設備等への助成｜白川町公式ウェブサイト",https://www.town.shirakawa.lg.jp/kurashi/sumai/1001774/1001764.html
