checked: 80
failures: 0
200 kagawa-official-001-001-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/nenkin/koukikorei/kogakuiryo.html
200 kagawa-official-001-002-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/ikuseiiryo.html
200 kagawa-official-001-003-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/kashitsuke.html
200 kagawa-official-001-004-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/shogakukin.html
200 kagawa-official-001-005-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/shugakushien.html
200 kagawa-official-001-006-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/yushi.html
200 kagawa-official-001-007-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kurashi/taishin_kaishu.html
200 kagawa-official-001-008-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kurashi/ryokka.html
200 kagawa-official-001-009-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/sonota/shoboushi_ikusei.html
200 kagawa-official-001-010-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/sonota/shidou_seibi.html
200 kagawa-official-001-011-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/nenkin/koukikorei/kyufu.html
200 kagawa-official-001-012-2026 https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/nenkin/koukikorei/koukiningendok.html
200 kagawa-official-001-013-2026 https://www.city.marugame.lg.jp/page/42066.html
200 kagawa-official-001-014-2026 https://www.city.marugame.lg.jp/page/2749.html
200 kagawa-official-001-015-2026 https://www.city.marugame.lg.jp/page/2370.html
200 kagawa-official-001-016-2026 https://www.city.marugame.lg.jp/page/2325.html
200 kagawa-official-001-017-2026 https://www.city.marugame.lg.jp/page/2356.html
200 kagawa-official-001-018-2026 https://www.city.marugame.lg.jp/page/2368.html
200 kagawa-official-001-019-2026 https://www.city.marugame.lg.jp/page/2334.html
200 kagawa-official-001-020-2026 https://www.city.marugame.lg.jp/page/2322.html
200 kagawa-official-001-021-2026 https://www.city.marugame.lg.jp/page/1361.html
200 kagawa-official-001-022-2026 https://www.city.marugame.lg.jp/page/2343.html
