organization	title	url	fallbackEvidence
嘉手納町	生活支援商品券配布事業	https://www.town.kadena.okinawa.jp/info/n8761.html	生活支援商品券配布事業。町民1人につき1万円分の商品券。商品券の有効期限は2026年9月30日まで。嘉手納町公式ページで、嘉手納町生活支援商品券配布事業を確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月28日であることを確認。ページの日付は産業環境課2026年6月4日であることを確認。制度は、物価高騰の影響を受けた町民の個人消費を下支えするため、町内の対象店舗のみで利用可能な商品券を全町民に配布し、落ち込んだ地域経済の回復を図ることを目的としていることを確認。配布金額は生活支援商品券1万円分、町民1人あたりであることを確認。対象者は、2026年1月1日時点で嘉手納町の住民基本台帳に記録されている町民であることを確認。配布方法は、対象の世帯主あてに生活支援商品券をゆうパックで郵送する方式で、2026年4月から順次6月末頃の配達予定であることを確認。不在時は不在票で手続きし、郵便局での保管期間は1週間、保管期間内に受け取りがない場合は郵便局から役場へ返却され、産業環境課窓口で本人確認書類等により受け取る案内があることを確認。商品券の有効期限は2026年9月30日までであること、取扱店舗リストが公式ページで公開されていることを確認。新規公式確認済み制度として追加。
嘉手納町	住宅リフォーム支援事業補助金	https://www.town.kadena.okinawa.jp/info/n7888.html	住宅リフォーム支援事業補助金。対象工事費の50%、最大80万円。2026年5月1日から2026年12月18日まで。先着順で、予算に達し次第受付終了。嘉手納町公式ページで、令和8年度住宅リフォーム支援事業補助金を確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月19日であることを確認。住宅リフォーム工事チラシPDFはHTTPSで200応答し、Last-Modifiedは2026年5月11日であること、対象工事例一覧PDFもHTTPSで200応答し、Last-Modifiedは2026年5月11日であることを確認。ページの日付は企画財政課2026年4月17日であることを確認。受付期間は2026年5月1日から2026年12月18日までで、先着順となり予算に達し次第受付締切となることを確認。制度は、住宅リフォーム工事を町内業者で施工する場合、補助対象工事1件につき10万円以上の工事について、対象工事費総額の50%または各条件による上限のいずれか低い金額を補助するものであることを確認。補助上限は、新たに多世帯住宅が上限50万円、所有者が住む空き家が上限30万円、18歳までの子を養育している子育て世帯が居住する住宅で上記の多世帯住宅または空き家に該当するものは上限30万円加算、そのほか一般住宅等は上限20万円であることを確認。共通条件として、町税を滞納していないこと、補助対象工事1件につき10万円以上の工事であること、築年数10年を超えていること、同一住宅について補助交付は原則1回限度であること、施工業者は町内に本社を有する法人または町内に住民登録している個人事業者であること、工事に着手する年度の2月末までに実績報告書を提出できること、同一工事範囲で国・県・町の他制度による補助または貸付を受けていないことを確認。申請は工事着手前に行い、交付または不交付決定通知後に工事着手する流れであることを確認。新規公式確認済み制度として追加。
嘉手納町	新築住宅等取得補助金	https://www.town.kadena.okinawa.jp/info/n7768.html	新築住宅等取得補助金。住宅・賃貸住宅とも1戸あたり100万円。対象期間は2025年4月1日から2027年3月31日までに取得し居住を開始した方。申請期間は起算日から6か月経過後の6か月間。嘉手納町公式ページで、嘉手納町定住促進事業の新築住宅等取得補助金を確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月19日であることを確認。ページの日付は企画財政課2026年6月17日であることを確認。ページでは、補助対象期間は2027年3月31日までに建築し居住を開始した方が対象であること、令和7年度から嘉手納町定住促進事業が新しくなり定住奨励金は廃止されたことを確認。新築住宅等取得補助金の補助額は、住宅を取得した個人が100万円/戸、賃貸住宅を取得した個人または法人が100万円/戸であることを確認。賃貸住宅は申請時までにすでに賃貸契約を結んでいる戸数に限ることを確認。建物の条件として、新築後1年以内に取得していること、取得は建築基準法第7条に基づく検査および登記を完了していること、住宅および多世帯住宅はそれぞれ50平方メートル以上を有し台所・トイレ・浴室がそれぞれ備わっていること、賃貸住宅は1戸の床面積50平方メートル以上、2LDK以上、リビング・ダイニング・キッチンの合計面積16.2平方メートル以上であることを確認。補助対象者は、居住を開始してから5年以上定住できる方、申請時および後追い調査で対象建物に関する調査に同意できる方であることを確認。対象外は分譲マンション、民泊として貸し出すもの、住民基本台帳に記載されない者のための住宅等であることを確認。対象期間は2025年4月1日から2027年3月31日までに取得し居住を開始した方で、申請期間は起算日から6か月を経過した日から6か月の間であることを確認。新規公式確認済み制度として追加。
嘉手納町	建物除却補助金	https://www.town.kadena.okinawa.jp/info/n7768.html	建物除却補助金。除却費用の2分の1、上限50万円。申請期間は起算日から6か月を経過した日から6か月の間。詳細は事前協議時に確認。嘉手納町公式ページで、嘉手納町定住促進事業の建物除却補助金を確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月19日であることを確認。ページの日付は企画財政課2026年6月17日であることを確認。ページでは、補助対象期間は2027年3月31日までに建築し居住を開始した方が対象であること、令和8年度から嘉手納町定住促進事業の建物除却補助額が50万円に変わり、2026年4月1日以降の申請者が対象であることを確認。建物除却補助金の補助額は除却費用の2分の1、上限50万円であることを確認。条件として、新築住宅等取得補助金の交付対象となる住宅等を建築するための建物除却であること、除却建物に所有権以外の権利が設定されていないこと、家屋課税台帳または家屋補充課税台帳に登録されている建物であること、除却工事に着手していないことを確認。事前協議は必須で、建物除却の場合は工事着手前に事前協議を済ませる必要があること、申請期間は起算日から6か月を経過した日から6か月の間であることを確認。新規公式確認済み制度として追加。
北谷町	妊婦のための支援給付事業（旧出産・子育て応援給付金事業）について	https://www.chatan.jp/kosodate/kosodate/teate_support/bansougatasoudan.html	北谷町では妊娠等包括相談支援事業と妊婦のための支援給付事業を一体的に実施。対象は申請及び届出時点において北谷町に住所がある妊婦または産婦等。妊婦であることの認定後5万円、妊娠したこどもの数の届出後にこどもの数につき5万円を給付。更新日2025年11月7日。
嘉手納町	入学祝金	https://www.town.kadena.okinawa.jp/info/n8837.html	入学祝金。高等学校等の新入生1人につき5万円。2026年5月18日から2026年11月30日まで。必着。嘉手納町公式ページで、嘉手納町入学祝金の支給について確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月19日であることを確認。チラシPDFはHTTPSで200応答し、Last-Modifiedは2026年6月18日であること、支給申請書PDFはHTTPSで200応答し、Last-Modifiedは2026年6月18日であることを確認。制度は、嘉手納町が令和8年度に小学校・中学校・高等学校等に入学した児童生徒の保護者に対し入学祝金を支給する町独自事業であることを確認。支給対象者は、令和8年度に小学校・中学校・高等学校等に入学した児童生徒を養育している保護者で、2026年5月1日時点で嘉手納町に住民登録がある方であることを確認。保護者は児童の親権者、未成年後見人またはこれらに準ずる者を指すことを確認。小学校には義務教育学校の前期課程、特別支援学校の小学部等を含み、中学校には義務教育学校の後期課程、中等教育学校の前期課程、特別支援学校の中学部等を含み、高等学校等には中等教育学校の後期課程、特別支援学校の高等部、高等専門学校、専修学校の高等課程等を含むことを確認。入学祝金の額は、新入生1人につき小学校3万円、中学校4万円、高等学校等5万円であることを確認。2026年5月1日時点で児童の住所が嘉手納町にある方には申請書を送付し、支給要件に該当する場合は申請書を子ども家庭課へ提出または電子申請で手続きできることを確認。2026年5月1日時点で児童の住所が嘉手納町にない方には申請書郵送がなく、嘉手納町ホームページまたは子ども家庭課窓口から申請書を入手して提出または電子申請することを確認。申請期限は2026年11月30日必着であることを確認。申請書PDFで、申請者が支給申請する年の5月1日時点に嘉手納町に住所を有し、新入生の親権者・未成年後見人等で現に監護する者であることに誓約する様式であること、高等学校等は在学証明書または学生証等の写しが必要で、
嘉手納町	先進医療不妊治療費助成事業	https://www.town.kadena.okinawa.jp/info/n8329.html	先進医療不妊治療費助成事業。1回の治療につき上限15万円。治療終了後1年以内。嘉手納町公式ページで、嘉手納町先進医療不妊治療費助成事業を確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月19日であることを確認。ページの日付は2025年6月25日であることを確認。制度は、先進医療不妊治療を行っている夫婦に費用の一部を助成するものであることを確認。先進医療不妊治療は、厚生労働省の先進医療会議における審査等を受け、先進医療として告示されている不妊治療関連技術であることを確認。対象者は、沖縄県先進医療不妊治療費助成事業による助成を受けている者、申請時に夫婦のいずれか一方または両方が嘉手納町に1年以上住所を有している者などであることを確認。対象治療は2025年4月1日以降に終了する先進医療不妊治療で、沖縄県先進医療不妊治療費助成事業助成金交付要綱に基づき決定通知を受けた治療であることを確認。助成額は、先進医療不妊治療に要した費用のうち県助成事業による助成額を控除した額で、1回の治療につき15万円を上限とし、千円未満の端数は切り捨てることを確認。申請書類として、県から送付された承認決定通知、県助成事業申請時に提出した受診等証明書の写し、領収書、嘉手納町申請書が案内されていることを確認。申請期限は治療終了後1年以内であることを確認。新規公式確認済み制度として追加。
嘉手納町	がん患者アピアランスケア支援事業	https://www.town.kadena.okinawa.jp/info/n8221.html	がん患者アピアランスケア支援事業。ウィッグ・乳房補整具それぞれ上限2万円。4月から12月までの購入分は翌年2月末日まで、1月から3月までの購入分は購入日の翌日から90日を経過した日まで。嘉手納町公式ページで、嘉手納町がん患者アピアランスケア支援事業を確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月19日であることを確認。ページの日付は2026年4月6日であることを確認。制度は、がん患者のがん治療による外見の変化を補完するために使用する補整具、ウィッグや乳房補整具の購入費用の一部を助成するものであることを確認。対象者は、申請日時点で嘉手納町の住民基本台帳に記録されている方、がんと診断され治療を受けたまたは現に受けている方で治療による外見の変化を補完する補整具を必要としている方、申請する補整具に対して他の補助等を受けていない方、過去に沖縄県内市町村から同補整具の補助を受けていない方であることを確認。対象品はウィッグ、装着に必要な頭皮保護用ネット、乳房補整具左右、補整下着や補整パッド等の胸部補正具で、付属品、ケア用品、交通費、送料等は対象外であることを確認。助成額は、1人につきウィッグ、乳房補整具左、乳房補整具右それぞれの購入額で、それぞれ上限2万円であることを確認。助成回数はそれぞれ1回ずつであることを確認。申請期限は、4月から12月までの購入分は購入した年の翌年2月末日まで、1月から3月までの購入分は購入日の翌日から起算して90日を経過した日までであることを確認。新規公式確認済み制度として追加。
嘉手納町	若年がん患者在宅療養生活支援事業	https://www.town.kadena.okinawa.jp/info/n8222.html	若年がん患者在宅療養生活支援事業。月上限54,000円。サービス利用前に申請。利用変更・廃止時は変更（廃止）申請書を提出。嘉手納町公式ページで、嘉手納町若年がん患者在宅療養生活支援事業を確認。公式ページはHTTPSで200応答し、Last-Modifiedは2026年6月19日であることを確認。ページの日付は2026年4月6日であることを確認。制度は、がんの治療を行わない40歳未満のがん患者が住み慣れた自宅で在宅療養生活を送るために必要な費用の一部を助成するものであることを確認。対象者は、申請日時点で嘉手納町の住民基本台帳に記録され、サービス利用時に20歳以上40歳未満、または18歳以上20歳未満で児童福祉法の小児慢性特定疾病医療費の支給を受けていない方であることを確認。介護保険における特定疾病としてのがんの定義及び診断基準に該当し、医師が一般に認められている医学的知見に基づき回復の見込みがない状態に至ったと判断した方で、在宅生活で居宅介護等の支援が必要な方、他制度で同等の助成等を受けられない方が対象であることを確認。助成対象は介護保険法に規定された居宅サービスに相当するサービスの利用料であることを確認。助成額は1か月あたりのサービス利用料の9割、最大54,000円であり、特定福祉用具は福祉用具の種類ごとに1回限りであることを確認。利用者がサービス利用料の全額を事業者に支払った後、町が利用者へ助成金を支払う流れであることを確認。新規公式確認済み制度として追加。
読谷村	※令和8年10月より給付上限額が引き上げられます※【令和8年度 年間請求スケジュール】幼児教育・保育の無償化	https://www.vill.yomitan.okinawa.jp/kosodate_kyoiku/hoikusho_yochien/1945.html	※令和8年10月より給付上限額が引き上げられます※【令和8年度 年間請求スケジュール】幼児教育・保育の無償化／沖縄県読谷村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language English 中文(簡体字) 中文(繁体字) Go くらし・手続き しごと・産業 医療・健康・福祉 観光・文化・スポーツ 行政情報 子育て・教育 くらし・手続き しごと・産業 医療・健康・福祉 観光・文化・スポーツ 行政情報 子育て・教育 文字サイズ 背景色変更 Foreign Language English 中文(簡体字) 中文(繁体字) Go PC版で見る 閉じる 現在のページ ホーム 子育て・教育 保育所・こども園・幼稚園 ※令和8年10月より給付上限額が引き上げられます※【令和8年度 年間
