municipality,priority,rescore,title,url,anchor,snippet
"蒲郡市","strong","150","移住・定住に向けた支援制度 - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/site/support/","補助金制度など","移住・定住に向けた支援制度 - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign Language 音声読み上げ ふりがなをつける 文字サイズ・色合い変更 背景色 白 黒 青 文字サイズ 標準 拡大 Googleカスタム検索 蒲郡市について Profile 子育て・教育 Parenting "
"蒲郡市","strong","141","補助金等の一覧について - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/unit/zaimu/hojokinichiran.html","事業者向け補助金等","補助金等の一覧について - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手続 防災・安全安心 マイナン"
"刈谷市","strong","139","予防接種による健康被害救済制度","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/yobosessyu/1015048.html","予防接種による健康被害救済制度","予防接種による健康被害救済制度｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues"
"豊田市","strong","135","低所得の妊婦に対する初回産科受診料助成事業","https://www.city.toyota.aichi.jp/kosodategakko/ninshin/1073751/1056187.html","低所得の妊婦に対する初回産科受診料助成事業","低所得の妊婦に対する初回産科受診料助成事業｜豊田市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 豊田市 TOYOTA CITY サイト メニュー 庁舎案内 Select Language Afrikaa"
"西尾市","strong","133","西尾市一般不妊治療費等助成制度","https://www.city.nishio.aichi.jp/kosodate/teate/1005129/1007250/1007249.html","西尾市一般不妊治療費等助成制度","西尾市一般不妊治療費等助成制度｜西尾市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Select Language English 中文（简体字） 中文（繁體字） 한국어 "
"西尾市","strong","133","西尾市生殖補助医療費等助成制度","https://www.city.nishio.aichi.jp/kosodate/teate/1005129/1007250/1007254.html","西尾市生殖補助医療費等助成制度","西尾市生殖補助医療費等助成制度｜西尾市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Select Language English 中文（简体字） 中文（繁體字） 한국어 "
"安城市","strong","132","安城市","https://www.city.anjo.aichi.jp/shisei/jouhou-hassin/2013koe-kategori/2013kosodate.html","子育て","安城市／「市民の声：子育て」 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 安城市 受け継ぐ想いを 未来へ届ける 望遠郷 サイト内検索 ページID検索 設定 文字サイズ・色合い変更 Language メニュー 閉じる 緊急 情報 緊急情報 閉じる ホーム 生活・サービス 教育・学習 観光・文化・スポーツ 産業・入札 市政情報 "
"西尾市","strong","129","高齢者配食サービス","https://www.city.nishio.aichi.jp/kenkofukushi/kourei/1001451/1002502.html","高齢者配食サービス","高齢者配食サービス｜西尾市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Select Language English 中文（简体字） 中文（繁體字） 한국어 Portug"
"蒲郡市","strong","126","後期高齢者医療保険 - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/life/13/45/67/","後期高齢者医療保険","後期高齢者医療保険 - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手続 防災・安全安心 マイナンバー"
"蒲郡市","strong","126","助成金 - 子育てポータルサイト - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/site/kosodate/zyosekin.html","助成金・補助金","助成金 - 子育てポータルサイト - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手続 防災・安全安心"
"刈谷市","strong","125","刈谷市骨髄提供者等助成事業","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/jyosei/1003420.html","刈谷市骨髄提供者等助成事業","刈谷市骨髄提供者等助成事業｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues 한"
"刈谷市","strong","125","がん患者補整具購入費助成事業","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/jyosei/1010739.html","がん患者補整具購入費助成事業","がん患者補整具購入費助成事業｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues "
"刈谷市","strong","125","若年がん患者在宅療養費助成事業","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/jyosei/1014009.html","若年がん患者在宅療養費助成事業","若年がん患者在宅療養費助成事業｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues"
"刈谷市","strong","125","不妊治療費等助成事業","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/jyosei/1020154.html","不妊治療費等助成事業","不妊治療費等助成事業｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues 한국어 "
"豊田市","strong","125","住宅のバリアフリー改修に伴う固定資産税の減額制度","https://www.city.toyota.aichi.jp/zeihoken/koteishisan/1073684/1002892.html","住宅のバリアフリー改修に伴う固定資産税の減額制度","住宅のバリアフリー改修に伴う固定資産税の減額制度｜豊田市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 豊田市 TOYOTA CITY サイト メニュー 庁舎案内 Select Language Afri"
"刈谷市","strong","123","利用料の軽減・助成制度","https://www.city.kariya.lg.jp/kurashi/fukushikaigo/koureishafukushi/1003456/1003472.html","利用料の軽減・助成制度","利用料の軽減・助成制度｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues 한국어"
"豊田市","strong","123","住宅支援資金について","https://www.city.toyota.aichi.jp/kosodategakko/kosodate/1027167/1073649/1045030.html","住宅支援資金について","住宅支援資金について｜豊田市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 豊田市 TOYOTA CITY サイト メニュー 庁舎案内 Select Language Afrikaans Albanian"
"蒲郡市","strong","120","子育て支援 - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/life/12/43/55/","子育て支援","子育て支援 - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手続 防災・安全安心 マイナンバーカード・"
"刈谷市","strong","117","複数の福祉医療費助成の受給資格に該当する場合","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/jyosei/1009378.html","複数の福祉医療費助成の受給資格に該当する場合","複数の福祉医療費助成の受給資格に該当する場合｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English po"
"西尾市","strong","117","高齢者タクシー利用支援事業","https://www.city.nishio.aichi.jp/kenkofukushi/kourei/1001451/1002501.html","高齢者タクシー利用支援事業","高齢者タクシー利用支援事業｜西尾市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Select Language English 中文（简体字） 中文（繁體字） 한국어 Po"
"刈谷市","strong","115","ひとり親家庭に関する相談","https://www.city.kariya.lg.jp/lifeevent/l_shugaku/1006982/1006991.html","ひとり親家庭に関する相談","ひとり親家庭に関する相談｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues 한국"
"豊田市","strong","114","ひとり親家庭への支援","https://www.city.toyota.aichi.jp/kosodategakko/kosodate/1027167/index.html","ひとり親家庭への支援","ひとり親家庭への支援｜豊田市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 豊田市 TOYOTA CITY サイト メニュー 庁舎案内 Select Language Afrikaans Albanian"
"安城市","strong","114","安城市","https://www.city.anjo.aichi.jp/shinseisho/index.html","申請書ダウンロード","安城市／申請書ダウンロード このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 安城市 受け継ぐ想いを 未来へ届ける 望遠郷 サイト内検索 ページID検索 設定 文字サイズ・色合い変更 Language メニュー 閉じる 緊急 情報 緊急情報 閉じる ホーム 生活・サービス 教育・学習 観光・文化・スポーツ 産業・入札 市政情報 ホ"
"刈谷市","strong","113","広域予防接種申出書","https://www.city.kariya.lg.jp/shinseisho/d_kenko/1008568.html","広域予防接種申出書","広域予防接種申出書｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues 한국어 中"
"刈谷市","strong","113","おたふくかぜ予防接種費用の一部助成","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/yobosessyu/1015052.html","おたふくかぜ予防接種費用の一部助成","おたふくかぜ予防接種費用の一部助成｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugu"
"西尾市","strong","113","申請書ダウンロード検索","https://www.city.nishio.aichi.jp/cgi-list/download.cgi?category=140&ys=0&ms=0&ds=0&ye=0&me=0&de=0&text=&format=0&license=0&group=0&sort=1","福祉","申請書ダウンロード検索 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Select Language English 中文（简体字） 中文（繁體字） 한국어 Português Tagalo"
"蒲郡市","strong","112","医療費助成 - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/life/13/91/53/","医療費助成","医療費助成 - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手続 防災・安全安心 マイナンバーカード・"
"刈谷市","strong","111","心身障害者医療費の助成","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/jyosei/1003426.html","心身障害者医療費の助成","心身障害者医療費の助成｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English portugues 한국어"
"豊田市","strong","111","後期高齢者医療制度における「子ども・子育て支援金制度」について","https://www.city.toyota.aichi.jp/zeihoken/koreishairyo/1074826.html","後期高齢者医療制度における「子ども・子育て支援金制度」について","後期高齢者医療制度における「子ども・子育て支援金制度」について｜豊田市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 豊田市 TOYOTA CITY サイト メニュー 庁舎案内 Select Langua"
"蒲郡市","strong","110","福祉 - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/life/13/91/","福祉","福祉 - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手続 防災・安全安心 マイナンバーカード・電子証"
"蒲郡市","strong","110","子育て支援ガイドブック にこにこ - 子育て支援課 - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/site/subsite-kosodate/nikoniko.html","子育て支援ガイドブック にこにこ","子育て支援ガイドブック にこにこ - 子育て支援課 - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手"
"蒲郡市","strong","110","子ども・高齢者・福祉・健康 - - 愛知県蒲郡市公式ホームページ","https://www.city.gamagori.lg.jp/site/shinseisyo/citizen-kodomo-kaigo-fukushi-kenko.html","子ども・介護・福祉・健康","子ども・高齢者・福祉・健康 - - 愛知県蒲郡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 検索 JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Foreign language 音声読み上げ ふりがな 閲覧補助 文字サイズ 拡大 標準 背景色 白 黒 青 閉じる 休日・救急医療 安心・ひろめーる AED設置場所 緊急・防災情報 くらし・手続 防災・安全安心 "
"刈谷市","strong","109","ひとり親家庭等医療費（母子家庭等医療費）の助成","https://www.city.kariya.lg.jp/kurashi/kenkoiryo/jyosei/1003425.html","ひとり親家庭等医療費（母子家庭等医療費）の助成","ひとり親家庭等医療費（母子家庭等医療費）の助成｜刈谷市ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Foreign Language English p"
"豊田市","strong","109","減免・免除制度について","https://www.city.toyota.aichi.jp/zeihoken/koteishisan/1073684/1002874.html","減免・免除制度について","減免・免除制度について｜豊田市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 豊田市 TOYOTA CITY サイト メニュー 庁舎案内 Select Language Afrikaans Albania"
"安城市","strong","109","安城市","https://www.city.anjo.aichi.jp/shisei/jouhou-hassin/2026koe/0204.html","社会福祉課職員の対応について","安城市／社会福祉課職員の対応について このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 安城市 受け継ぐ想いを 未来へ届ける 望遠郷 サイト内検索 ページID検索 設定 文字サイズ・色合い変更 Language メニュー 閉じる 緊急 情報 緊急情報 閉じる ホーム 生活・サービス 教育・学習 観光・文化・スポーツ 産業・入札 市"
"安城市","strong","108","安城市","https://www.city.anjo.aichi.jp/kurasu/fukushikaigo/iryo/kodomo.html","子ども医療費助成","安城市／子ども医療 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 安城市 受け継ぐ想いを 未来へ届ける 望遠郷 サイト内検索 ページID検索 設定 文字サイズ・色合い変更 Language メニュー 閉じる 緊急 情報 緊急情報 閉じる ホーム 生活・サービス 教育・学習 観光・文化・スポーツ 産業・入札 市政情報 ホーム >"
