	0	low		https://www.town.shimane-kawamoto.lg.jp/
	12	low		https://www.town.shimane-kawamoto.lg.jp/gyosei/
	2	low	お問い合わせ	https://www.town.shimane-kawamoto.lg.jp/otoiawase/
	0	low	川本町公式LINE	https://www.town.shimane-kawamoto.lg.jp/gyosei/town_administration/public_relations/5498
	5	low	イベント・募集	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_news/community_events/
	9	low	国民年金	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_living/pension/
	5	low	医療	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_living/health/
	0	low	子育て・教育	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_education/
	7	low	子育て	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_education/childcare/
	0	low	学校	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_education/school_info/
	6	low	社会教育	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_education/social_education/
	0	low	健康・福祉	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_health/
	0	low	予防接種	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_health/vaccination/
	3	low	障がい者福祉	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_health/disability_welfare/
	2	low	高齢者福祉	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_health/senior_welfare/
	0	low	住まい・環境	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/
	2	low	住宅・土地	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/housing/
	9	low	上下水道	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/water_supply/
	2	low	道路・交通	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/traffic/
	3	low	産業（事業者）	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_industry/
	4	low	商工	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_industry/commerce_industry/
	3	low	農業	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_industry/agriculture/
	0	low	林業	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_industry/forestry/
	4	low	農業委員会	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_industry/agricultural_committee/
	5	low	有害鳥獣	https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_industry/wildlife/
