org	detailScore	score	title	url	snippet
みやま市	51	37	国民健康保険税	https://www.city.miyama.lg.jp/s015/kurashi/020/010/20200109023000.html	国民健康保険税｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 税金 > 国民健康保険税 国民健康保険税 LINEで送る シェア ツイート 更新日：2026年7月1日 国民健康保険税は、国民健康保険を支える大切な財源です。納期内に必ず納めましょう。 国民健康保険税の納税義務者は世帯
みやま市	51	25	地方就職学生支援制度	https://www.city.miyama.lg.jp/s067/kurashi/090/030/060/20260619160659.html	地方就職学生支援制度｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 移住・定住支援 > 補助・支援制度 > 地方就職学生支援制度 地方就職学生支援制度 LINEで送る シェア ツイート 更新日：2026年6月22日 東京圏の大学を卒業し、福岡県内の企業に就職をする場合に、最大約1
みやま市	51	25	みやまん・コイン	https://www.city.miyama.lg.jp/s034/kurashi/130/010/coin_top.html	みやまん・コイン｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > デジタル地域通貨 > みやまん・コイン みやまん・コイン LINEで送る シェア ツイート 更新日：2026年7月14日 『みやまん・コイン』とは？ 『みやまん・コイン * 』とは、市からの給付事業を電子コインで給付
みやま市	51	25	新婚世帯への支援（結婚新生活支援事業）	https://www.city.miyama.lg.jp/s067/kurashi/090/030/kekkonnsinseikatu.html	新婚世帯への支援（結婚新生活支援事業）｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 移住・定住支援 > 補助・支援制度 > 新婚世帯への支援（結婚新生活支援事業） 新婚世帯への支援（結婚新生活支援事業） LINEで送る シェア ツイート 更新日：2026年5月26日 新婚世帯が
みやま市	51	25	【子育て】【転入】【新婚】世帯の住宅ローンがお得に【フラット35地域連携型】	https://www.city.miyama.lg.jp/s067/kurashi/090/030/furatto35/furat35.html	【子育て】【転入】【新婚】世帯の住宅ローンがお得に【フラット35地域連携型】｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 空き家・住宅・市営住宅 > 【子育て】【転入】【新婚】世帯の住宅ローンがお得に【フラット35地域連携型】 【子育て】【転入】【新婚】世帯の住宅ローンがお得に
みやま市	51	25	若者移住・定住通勤定期利用支援金	https://www.city.miyama.lg.jp/s067/kurashi/090/030/tuukinnteikiriyousiennkin/tuukinnteikiriyousiennkinn.html	若者移住・定住通勤定期利用支援金｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 移住・定住支援 > 補助・支援制度 > 若者移住・定住通勤定期利用支援金 若者移住・定住通勤定期利用支援金 LINEで送る シェア ツイート 更新日：2026年4月6日 公共交通機関を利用して、市外に
みやま市	51	25	地元での就職を応援します ー有明圏域定住自立圏 就職支援情報発信連携事業ー	https://www.city.miyama.lg.jp/s034/kurashi/120/070/20240912170746.html	地元での就職を応援します ー有明圏域定住自立圏 就職支援情報発信連携事業ー｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 労働・雇用 > 求人・求職・就職支援 > 地元での就職を応援します ー有明圏域定住自立圏 就職支援情報発信連携事業ー 地元での就職を応援します ー有明圏域定住
みやま市	51	25	軽自動車税（種別割）の減免について	https://www.city.miyama.lg.jp/s015/kurashi/020/080/030/20200109010000.html	軽自動車税（種別割）の減免について｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 税金 > 軽自動車税（種別割） > 軽自動車税（種別割）の減免について 軽自動車税（種別割）の減免について LINEで送る シェア ツイート 更新日：2021年1月11日 障がいのある方などが利用す
みやま市	51	25	固定資産税の減免	https://www.city.miyama.lg.jp/s016/kurashi/020/100/030/20200108220000.html	固定資産税の減免｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > 安全・安心 > 防災 > 令和3年8月豪雨災害に関する情報 > 固定資産税の減免 固定資産税の減免 LINEで送る シェア ツイート 更新日：2021年8月19日 固定資産を所有している人で、次のような特別な事情がある場合は、固定資産税
みやま市	51	25	宅地内の水道管漏水や修理・改造について	https://www.city.miyama.lg.jp/s042/kurashi/030/020/070/20200108193000.html	宅地内の水道管漏水や修理・改造について｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 水道・下水道・浄化槽 > 水道に関すること（開始・中止・変更、その他） > 宅地内の水道管漏水や修理・改造について 宅地内の水道管漏水や修理・改造について LINEで送る シェア ツイート 更新
みやま市	51	25	個人が設置・管理する浄化槽について	https://www.city.miyama.lg.jp/s043/kurashi/030/030/020/20250319101919.html	個人が設置・管理する浄化槽について｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 水道・下水道・浄化槽 > 下水道・浄化槽に関すること > 個人が設置・管理する浄化槽について 個人が設置・管理する浄化槽について LINEで送る シェア ツイート 更新日：2025年6月30日 浄化
みやま市	49	25	みやま市花いっぱい推進事業	https://www.city.miyama.lg.jp/s030/kurashi/environ/060/060/20240612170715.html	みやま市花いっぱい推進事業｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > ペット・動物・環境 > その他 > みやま市花いっぱい推進事業 みやま市花いっぱい推進事業 LINEで送る シェア ツイート 更新日：2026年6月3日 みやま市環境衛生組合連合会では、魅力あるまちづくりの
みやま市	47	25	くらしの困りごと相談（みやま市自立相談支援事務所）	https://www.city.miyama.lg.jp/s027/kurashi/100/030/20200108122000.html	くらしの困りごと相談（みやま市自立相談支援事務所）｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 各種相談 > くらしの困りごと相談（みやま市自立相談支援事務所） くらしの困りごと相談（みやま市自立相談支援事務所） LINEで送る シェア ツイート 更新日：2021年11月17日
みやま市	47	25	家屋の減額措置	https://www.city.miyama.lg.jp/s016/kurashi/020/100/050/20200108214000.html	家屋の減額措置｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 税金 > 固定資産税 > 家屋の減額措置 家屋の減額措置 LINEで送る シェア ツイート 更新日：2026年4月1日 次の目的で家屋の改修をしたときは、一定の減額措置があります。工事完了後3か月以内に税務課資産税係（
みやま市	45	25	無収入もしくは非課税所得のみの方へ	https://www.city.miyama.lg.jp/s015/kurashi/020/090/120/20210216124800.html	無収入もしくは非課税所得のみの方へ｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 税金 > 個人住民税 > 無収入もしくは非課税所得のみの方へ 無収入もしくは非課税所得のみの方へ LINEで送る シェア ツイート 更新日：2024年1月22日 無収入もしくは非課税所得のみである場
みやま市	43	20	空き家・住宅・市営住宅	https://www.city.miyama.lg.jp/li/kurashi/080/index.html	空き家・住宅・市営住宅｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 空き家・住宅・市営住宅 空き家・住宅・市営住宅 LINEで送る シェア ツイート 民間集合賃貸住宅等改修事業補助金 空き家の悩み、みやま市と解決しませんか 空き家家財道具処分等支援事業補助金 【子育て】【転入】
みやま市	43	20	補助・支援制度	https://www.city.miyama.lg.jp/li/kurashi/090/010/index.html	補助・支援制度｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 移住・定住支援 > 補助・支援制度 補助・支援制度 LINEで送る シェア ツイート 地方就職学生支援制度 転入世帯家賃補助制度 みやま市事業所新設補助金（旧みやま市移住定住起業支援補助金）制度について 新婚世帯への支
みやま市	43	20	子育て	https://www.city.miyama.lg.jp/li/kosodate/010/index.html	子育て｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > 子育て・教育・スポーツ > 子育て 子育て LINEで送る シェア ツイート ひとり親家庭への支援 病児一時預り事業（おひさまルーム、ちっこハウス） フードドライブにご協力ください 小中学校児童生徒数 みやま市地域こどもの生活支援強化事業補助金
みやま市	43	20	妊娠・出産	https://www.city.miyama.lg.jp/li/kosodate/010/010/index.html	妊娠・出産｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > 子育て・教育・スポーツ > 子育て > 妊娠・出産 妊娠・出産 LINEで送る シェア ツイート 新生児聴覚検査・1か月児健康診査費助成 産婦健康診査費助成 妊婦健診・分娩時の交通費等助成事業 HELLO baby クラス 赤ちゃん訪問 子育
みやま市	43	20	各種手当（児童手当など）	https://www.city.miyama.lg.jp/li/kosodate/010/040/index.html	各種手当（児童手当など）｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > 子育て・教育・スポーツ > 子育て > 各種手当（児童手当など） 各種手当（児童手当など） LINEで送る シェア ツイート 特別児童扶養手当 児童扶養手当 児童手当 子育て 妊娠・出産 子どもを預ける（教育・保育施設、放課後児
みやま市	43	17	各種助成・手当など	https://www.city.miyama.lg.jp/li/life/040/020/index.html	各種助成・手当など｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > ライフイベント > 健康・福祉 > 各種助成・手当など 各種助成・手当など LINEで送る シェア ツイート 医療的ケア児在宅レスパイト事業 特別児童扶養手当 骨髄ドナー助成事業について 精神障がいのある家族のための相談電話 はり、き
みやま市	43	17	各種助成・手当など	https://www.city.miyama.lg.jp/li/life/060/020/index.html	各種助成・手当など｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > ライフイベント > 結婚・離婚 > 各種助成・手当など 各種助成・手当など LINEで送る シェア ツイート 新婚世帯への支援（結婚新生活支援事業） 児童扶養手当 出会い・結婚サポート事業補助金 ひとり親家庭等医療費助成制度 結婚・離
みやま市	41	21	罹災証明書（り災証明書）の発行について	https://www.city.miyama.lg.jp/s016/kurashi/20210628160331.html	罹災証明書（り災証明書）の発行について｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 届け出・証明 > 罹災証明書（り災証明書）の発行について 罹災証明書（り災証明書）の発行について LINEで送る シェア ツイート 更新日：2026年6月25日 地震、台風、豪雨等の自然災害によ
みやま市	41	21	放課後児童クラブ	https://www.city.miyama.lg.jp/s028/kosodate/010/140/020/20210921172820.html	放課後児童クラブ｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > 子育て・教育・スポーツ > 子育て > 子どもを預ける（教育・保育施設、放課後児童クラブ） > 放課後児童クラブ 放課後児童クラブ LINEで送る シェア ツイート 更新日：2026年7月6日 保護者が共働きなどの理由により、放課後等に
みやま市	41	21	くらしの便利帳	https://www.city.miyama.lg.jp/s002/kurashi/090/040/020/20200108125000.html	くらしの便利帳｜みやま市 メニューにジャンプ コンテンツにジャンプ ホーム MENU を開く 検索 を開く 閲覧補助 を開く Foreign Language サイト内検索 安全・安心 くらし・手続き 子育て・教育・スポーツ 健康・福祉 観光・ビジネス 市政情報 トップページ > くらし・手続き > 移住・定住支援 > 定住ガイドブック > くらしの便利帳 くらしの便利帳 LINEで送る シェア ツイート 更新日：2022年9月8日 「みやま市くらしの便利帳」は、広告主の皆さんのご協力のもと、株式会社サイネックスと
