rescore	score	org	title	url	snippet
57	30	いちき串木野市	商工振興資金利子補助制度	https://www.city.ichikikushikino.lg.jp/shokan1/sangyo/shoko/shikin.html	いちき串木野市／商工振興資金利子補助制度 本文へスキップします。 いちき串木野市 文字サイズ・色合い変更 Foreign Language 携帯サイト サイトマップ 行政機構図 検索・共通メニュー コンテンツメニュー ホーム 暮らし 防災・安全・安心 健康・福祉・子育て・介護 教育・文化・スポーツ 観光・産業・企業誘致 市政情報 （市の取組、ふるさと納税等） ホーム > 観光・産業・企業誘致 > 商工振興関係 > 商工振興資金利子補助制度 商工振興関係 セーフティネット保証制
57	30	曽於市	児童手当制度について	https://www.city.soo.kagoshima.jp/kurashi/kosodatekyouiku/zidouhukusi/zidouteate.html	児童手当制度について｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > 子育て・教育 > 児童福祉・母子父子福祉 > 児童手当制度について --> 児童手当制度について ツイート 児童手当制度の詳細 児童手当制度は、児童を養育している方に手当を支給することにより、家庭における生活の安定に寄与すると
57	30	曽於市	移住就業支援金制度について	https://www.city.soo.kagoshima.jp/kurashi/kurashisumai/teizyuusokusinn/2023-1218-1602-10.html	移住就業支援金制度について｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > 暮らし・住まい > 定住促進制度 > 移住就業支援金制度について --> 移住就業支援金制度について ツイート 概要 東京圏23区（在住者又は通勤者）から鹿児島県内に移住し，移住支援金の就業要件を満たす就業をした方，又は
57	30	曽於市	大雨災害に伴うパスポート手数料の減免について	https://www.city.soo.kagoshima.jp/kurashi/todokedesyomei/passport/2025-0903-1003-14ooame.html	大雨災害に伴うパスポート手数料の減免について｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > 届出・証明 > パスポート > 大雨災害に伴うパスポート手数料の減免について --> 大雨災害に伴うパスポート手数料の減免について ツイート 令和7年8月6日からの大雨災害により被害を受けた方のうち、要
57	30	曽於市	市県民税の減免について	https://www.city.soo.kagoshima.jp/kurashi/zeikinnnituite/shiminnzei/shikenminzeikeigen.html	市県民税の減免について｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > 税金について > 市民税 > 市県民税の減免について --> 市県民税の減免について ツイート 必ずお読みください 市県民税は、所得税とは異なり、所得があった翌年に課税される制度となっていますので、税負担の公平性を確保する観
57	30	曽於市	遠距離通学補助について	https://www.city.soo.kagoshima.jp/kurashi/kosodatekyouiku/syuugakuhozyo/202606_tuugakuhojyo.html	遠距離通学補助について｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > 子育て・教育 > 就学補助 > 遠距離通学補助について --> 遠距離通学補助について ツイート 曽於市では、市内に居住し、曽於市立小中学校に通学する生徒で遠距離通学をする児童生徒に対し、負担軽減を図るために補助金を交付して
57	30	曽於市	学校給食費の全額補助について	https://www.city.soo.kagoshima.jp/kurashi/kosodatekyouiku/gakkoukyuusyoku/2025-0718-1040-30.html	学校給食費の全額補助について｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > 子育て・教育 > 学校給食 > 学校給食費の全額補助について --> 学校給食費の全額補助について ツイート 曽於市では学校給食費を全額補助しています 曽於市では、子育て世代の経済的負担を軽減し子どもたちが健やかに成長
57	30	曽於市	重度心身障がい者（児）の医療費の助成	https://www.city.soo.kagoshima.jp/kurashi/kaigofukushi/syougaihukushi/zyuusinniryouzyosei.html	重度心身障がい者（児）の医療費の助成｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > 介護・福祉 > 障がい福祉 > 重度心身障害者（児）の医療費の助成 --> 重度心身障害者（児）の医療費の助成 ツイート 重度心身障害者（児）の医療費の助成について 重度心身障害者(児)の健康の保持増進を図るた
57	30	曽於市	行政区(各種自治会補助制度)について	https://www.city.soo.kagoshima.jp/kurashi/machidukuri/tiikiziti/gyouseiku.html	行政区(各種自治会補助制度)について｜くらしの情報｜曽於市 --> 本文へ移動 音声読み上げブラウザ 窓口から探す(部署別案内一覧) MENU 閉じる ホーム くらしの情報 観光・イベント 産業・ビジネス 行政情報 閉じる --> --> ホーム > くらしの情報 > まちづくり > 地域自治・住民自治 > 自治会への補助金・助成金制度について --> 自治会への補助金・助成金制度について ツイート 各種自治会補助金・助成金制度の詳細 自治会振興助成金 自治会振興助成金は、自
57	30	日置市	【終了しました】定額減税しきれないと見込まれる方への給付金（調整給付）	https://www.city.hioki.kagoshima.jp/fukushiseisaku/kurashi/tetsuzuki/kyuhukin/choseikyuhukin.html	【終了しました】定額減税しきれないと見込まれる方への給付金（調整給付）｜鹿児島県日置市 本文へスキップします。 日置市 文字サイズ・色合い Foreign Language 音声読み上げ 緊急情報 閲覧支援 メニュー 緊急情報 現在、情報はありません。 緊急情報一覧 緊急情報RSS 閉じる 閉じる カテゴリから探す 市民のくらし 移住定住 観光 産業・ビジネス 市政情報 サイト内検索 キーワードで探す 閉じる ホーム > 市民のくらし > くらし・手続き > 給付金 > 【終
