municipalityCode,municipalityName,rescore,hasStrong,hasAmount,hasTarget,hasDeadline,title,h1,sourceUrl,snippet
"20450","山形村","58","true","true","true","true","令和８年度風食防止対策事業補助金について","令和８年度風食防止対策事業補助金について","https://www.vill.yamagata.nagano.jp/docs/335308.html","補助金について - 長野県山形村 コンテンツの本文へ移動する --> Foreign Language 文字サイズ [小] [標準] [大] ふりがなをつける ふりがなをはずす 読み上げ ブラウザガイド 防災・緊急 くらし・手続き 子育て・教育 健康・福祉 仕事・産業 スポーツ・文化 観光情報 村政情報 メニュー 防災・緊急 くらし･手続き 子育て･教育 健康･福祉 仕事･産業 スポーツ･文化 村政情報 観光情報 ホーム &rsaquo"
"20450","山形村","58","true","true","true","true","令和８年度 私立高等学校等通学者補助金について","令和８年度 私立高等学校等通学者補助金について","https://www.vill.yamagata.nagano.jp/docs/328288.html","補助金について - 長野県山形村 コンテンツの本文へ移動する --> Foreign Language 文字サイズ [小] [標準] [大] ふりがなをつける ふりがなをはずす 読み上げ ブラウザガイド 防災・緊急 くらし・手続き 子育て・教育 健康・福祉 仕事・産業 スポーツ・文化 観光情報 村政情報 メニュー 防災・緊急 くらし･手続き 子育て･教育 健康･福祉 仕事･産業 スポーツ･文化 村政情報 観光情報 ホーム &rsaquo"
"20450","山形村","58","true","true","true","true","児童手当制度改正のご案内","児童手当制度改正のご案内","https://www.vill.yamagata.nagano.jp/docs/295412.html","手当制度改正のご案内 - 長野県山形村 コンテンツの本文へ移動する --> Foreign Language 文字サイズ [小] [標準] [大] ふりがなをつける ふりがなをはずす 読み上げ ブラウザガイド 防災・緊急 くらし・手続き 子育て・教育 健康・福祉 仕事・産業 スポーツ・文化 観光情報 村政情報 メニュー 防災・緊急 くらし･手続き 子育て･教育 健康･福祉 仕事･産業 スポーツ･文化 村政情報 観光情報 ホーム &rsa"
"20450","山形村","58","true","true","true","true","児童手当","児童手当","https://www.vill.yamagata.nagano.jp/docs/2189.html","手当 - 長野県山形村 コンテンツの本文へ移動する --> Foreign Language 文字サイズ [小] [標準] [大] ふりがなをつける ふりがなをはずす 読み上げ ブラウザガイド 防災・緊急 くらし・手続き 子育て・教育 健康・福祉 仕事・産業 スポーツ・文化 観光情報 村政情報 メニュー 防災・緊急 くらし･手続き 子育て･教育 健康･福祉 仕事･産業 スポーツ･文化 村政情報 観光情報 ホーム &rsaquo; 子育て"
"20446","麻績村","53","true","true","true","true","","","https://www.vill.omi.nagano.jp/lifescene/kenko_iryo/","減免について 麻績村福祉医療費給付について 後期高齢者医療保険について ライフシーン 妊娠・出産 子育て 健康・医療 転入・転出 福祉・介護 お悔み このページの先頭へ戻る サイトマップ ホームページについて お問い合わせ リンク集 交通アクセス 麻績村役場 〒399-7701 長野県東筑摩郡麻績村麻3837番地 電話番号(代表)：0263-67-3001 ファックス番号：0263-67-3094 開庁時間：午前8時30分から午後5時1"
"20446","麻績村","53","true","true","true","true","","","https://www.vill.omi.nagano.jp/lifescene/kenko_iryo/index.html","減免について 麻績村福祉医療費給付について 後期高齢者医療保険について ライフシーン 妊娠・出産 子育て 健康・医療 転入・転出 福祉・介護 お悔み このページの先頭へ戻る サイトマップ ホームページについて お問い合わせ リンク集 交通アクセス 麻績村役場 〒399-7701 長野県東筑摩郡麻績村麻3837番地 電話番号(代表)：0263-67-3001 ファックス番号：0263-67-3094 開庁時間：午前8時30分から午後5時1"
"20446","麻績村","53","true","true","true","true","","","https://www.vill.omi.nagano.jp/kurashi/kenko_iryo/index.html","手当・補助金 健康・医療 福祉・介護 教育 安全・防災 妊娠・出産・子育て 生涯学習 暮らし・住まい 証明・手続き ライフシーン 妊娠・出産 子育て 健康・医療 転入・転出 福祉・介護 お悔み このページの先頭へ戻る サイトマップ ホームページについて お問い合わせ リンク集 交通アクセス 麻績村役場 〒399-7701 長野県東筑摩郡麻績村麻3837番地 電話番号(代表)：0263-67-3001 ファックス番号：0263-67-30"
"20446","麻績村","53","true","true","true","true","","","https://www.vill.omi.nagano.jp/jigyousha/hojokin_shien/muradukuri277.html","補助金・支援 麻績村小さな産業づくり支援事業 麻績村小さな産業づくり支援事業 更新日：2018年03月27日 事業の概要 村民の皆さまが地域資源活用型の創業により、地域活性化と地域産業振興並びに所得増加を目指し、魅力ある村づくりを推進するための経費に対して、麻績村が予算の範囲内で支援を行う制度です。 今までやりたいと思っていたもののできなかったことなどのきっかけづくりとして支援します。 村民皆さまによる、地域資源を活用した創業にぜひご利"
"20448","生坂村","53","true","true","true","true","","","https://www.village.ikusaka.nagano.jp/kyouiku/koutougatsukou_tsuugaku_shien.htm","補助金交付について 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホーム 行政情報 教育委員会 生坂村高等学校通学費補助金交付について 生坂村では、高校生のＪＲ等（村営バス以外）の通学定期券への助成により、高校生がいる世帯の経済的支援"
"20448","生坂村","53","true","true","true","true","","","https://www.village.ikusaka.nagano.jp/gyousei/muradukuri/juutakuhojo.html","補助金のお知らせ 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホーム 行政情報 村づくり推進室 既存住宅断熱改修事業に関する補助金のお知らせ ●古民家脱炭素リノベーション（令和６年度から） ●民家断熱改修（令和７年度から） 生坂村で"
"20448","生坂村","53","true","true","true","true","","","https://www.village.ikusaka.nagano.jp/gyousei/muradukuri/datutanso_hojo.html","補助金のお知らせ（一般住宅向け） 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホーム 行政情報 村づくり推進室 令和8年度省エネ機器・木質バイオマスストーブ導入補助金のお知らせ（一般住宅向け） 令和７年度から変更となった点もあります"
"20448","生坂村","53","true","true","true","true","","","https://www.village.ikusaka.nagano.jp/gyousei/kenkoufukusi/kosodate/joseikin.htm","助成金 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホーム 行政情報 健康福祉課 犀龍小太郎助成金 犀龍小太郎助成金（妊婦一般健康診査助成金・不妊治療助成金） 少子化対策と子育て支援の一助とするため不妊治療に要した医療費及び安心して"
"20448","生坂村","53","true","true","true","true","","","https://www.village.ikusaka.nagano.jp/gyousei/juuminka/kosodatesienkin.htm","支援金 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホーム 暮らしの情報 住民課 健やかに産み育む子育て支援金 この支援金は、生坂村に住所のある１８歳未満のお子様のいる家庭の水道超過料金を補助するもので、生坂村独自の支援制度です。 "
"20448","生坂村","53","true","true","true","true","","","https://www.village.ikusaka.nagano.jp/gyousei/kenkoufukusi/kosodate/jutakusien.htm","補助金 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 ホーム 行政情報 健康福祉課 ふれあい住宅支援事業補助金 ふれあい住宅支援事業補助金 高齢者と同居または子育て中の村民が住宅を新築した場合、その借入金利子の負担軽減のため補助金を交"
"20448","生坂村","53","true","true","true","true","","","https://www.village.ikusaka.nagano.jp/gyousei/kenkoufukusi/seijin/shougaisha_fukusi.htm","減免 支給要件 手帳 身体障害者手帳所持者 精神障害者保健福祉手帳所持者 療育手帳所持者 ※ 等級制限あり 所得制限 なし その他 ・障害者等が自ら運転する者 ・障害者等と生計を同じくする者が、障害者等のために運転する者 ・障害者等のみで構成される世帯の障害者等を日常的に介護する者が障害者等のために運転する者 ※ 免除台数は、一人の障害者等につき１台に限る 割引率・給付内容 自動車税：減免限度額 ４５，０００円 自動車取得税：減免限度額"
